Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
مُمَرْمَص,اي الثوب مكرمش ، وهي تطلق على الثوب فقط,Western,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: هذا الثوب ___ جداً.
الخيارات:
أ) مُمَرْمَص
ب) مرتب
ج) جديد
د) قديم",أ
ممكن,ممكن:تقولها عندما تريد شيئاً,Central,"المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: إنه __________ أن نذهب إلى الحديقة.
الخيارات:
أ) مستحيل
ب) ممكن
ج) غير مرغوب
د) عنه",ب
مملوحة,مملوحة صفة تطلق على جميلة الملامح,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: أحب تلك البنت، لأنها ______.
الخيارات:
أ) مملوحة
ب) ضعيفة
ج) شديدة
د) جافة",أ
مَنْ,ماء,Western,"المهمة: أكمل الجملة بالمعنى المناسب.
السؤال: عندما يطلب مني أحدهم 'مَنْ بارد'، فإنني أفهم أنه يريد __________.
الخيارات:
أ) قهوة ساخنة
ب) ماء بارد
ج) شاي
د) عصير",ب
من جد,تأييد للرأي بشدة,Central,"المهمة: أكمل الجملة بالتعبير المناسب.
السؤال: إياد قال إنه متأكد من كلامه، وأحب أن يقول '____'.
الخيارات:
أ) من جد
ب) أكيد
ج) ما علي
د) والله",أ
من عيوني,معناها : ( على الرحب والسعة ) أو ( من دواعي سروري أن أقوم بذلك ),General,"المهمة: املأ الفراغ بما يناسب.
السؤال: عندما طلبت مساعدة صديقي، قال '______'.
الخيارات:
أ) من عيوني
ب) لا أستطيع
ج) انتظر قليلاً
د) ليس الآن",أ
مِن كثركْ,منْ كثركْ : ردّ بضعُ تحقيرْ ، تعنيَ أنكَ تثقُ بنفسكَ ثقةً عمياءْ ، و أنتَ في الواقع لا تستحقّ هذه الثقهْ . بمعنىَ عامّي : واثقْ بنفسك بزياادهْ D: !,General,"المهمة: أكمل الجملة التالية.
السؤال: عندما يقول الشخص 'مِن كثركْ' فإنه يعني أنه __________.
الخيارات:
أ) واثق بنفسه بشكل زائد
ب) غير واثق من نفسه
ج) يتحقق من نفسه دائماً
د) يبحث عن دعم الآخرين",أ
من كيسك,كلمة ( من كيسك ) هي كلمة جديدة في اللهجة العامية السعودية منتشرة بكثرة معناها ( كلام فارغ ) أو ( كلام فاضي ) أو بالفصحى ( كلام أنت قمت بتأليفه من عقلك ) وبمعنى أوضح المقصود بها ( أنك كاذب ) لكن بطريقة لطيفة,General,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما يقول أحدهم شيئاً غير منطقي، قد يرد الآخر قائلاً: 'هذا ____'.
الخيارات:
أ) من كيسك
ب) كلام نادر
ج) صحيح تماما
د) خبر مؤكد",أ
مَنامة,هذه الكلمة غير مشهورة كثيرا وتستخدمها بعض قبائل قبيلة خولان في شمال منطقة جازان,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: في لهجة بعض قبائل خولان، يمكن أن تُستخدم كلمة 'مَنامة' كبديل لـ ______.
الخيارات:
أ) نوم
ب) طعام
ج) فرح
د) بيت",أ
منتفخة,اي زعلانة,Southern,"المهمة: املأ الفراغ في الجملة التالية.
السؤال: مها اليوم __________.
الخيارات:
أ) منتفخة
ب) مبتسمة
ج) حزينة
د) سعيدة",أ
منتهي,منتهي بمعنى فاصل وتقال على الشخص عندما يكون منهك ويفقد تركيزه,Western,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: عندما أقول إنني 'منتهي'، فأنا أشعر بـ ______.
الخيارات:
أ) النشاط
ب) الفرح
ج) التعب
د) الهدوء",ج
منتو,المنتوا عجين محشو بالبصل واللحم المفروم اكله ربما اتت مع البخاريه,Southern,"المهمة: أكمل الفراغ بالكلمة الصحيحة.
السؤال: ____ هو نوع من الأطعمة المحشوة بالبصل واللحم المفروم.
الخيارات:
أ) مندي
ب) منتو
ج) كبسة
د) شاورما",ب
منجطل,مستلقي على ظهره، متمدد على الأرض,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: كان الطفل _____ على الأرض بعد اللعب.
الخيارات:
أ) مشغول
ب) منجطل
ج) سعيد
د) غاضب",ب
منخق,مصدوم,Central,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما رأيت نتائج الاختبار كنت _____ لأنني لم أتوقع ذلك.
الخيارات:
أ) سعيد
ب) مصدوم
ج) متفاجئ
د) مرتبك",ب
مندس,مختبئ,Central,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: محمد قال: 'حمد __________ تحت السرير'.
الخيارات:
أ) ظاهر
ب) مندس
ج) بعيد
د) معروف",ب
منسبه,فلان مِنْسِبِهْ: تطلق على من قام بأفعال جنونية أو تصرفات حمقاء متكررة,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: زيد __________ كل يوم يغيب مهيب عادته.
الخيارات:
أ) ذكي
ب) منسبه
ج) طموح
د) شجاع",ب
كِخّه,تستخدم كلمة كخة عند نهي الاطفال الصغار من اللعب او اكل اشياء من الارض (او قاذورات),Western,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: عندما رأى الطفل يأكل من الأرض، قالت الأم: '______ يابابا لا تأكل شي من الأرض.'
الخيارات:
أ) كخة
ب) عفواً
ج) جرابي
د) هيا",أ
منغله,مَغُولِي ، منْغُولِي ، مَنْغَلَه صفة تشبيهية لمرض يصيب الانسان منذ التكوّن في بطنه امه بسبب نقصان في الكروموسومات يجعله اقصر عمرًا ، واقل مقدرة في العمليات الذهنية يسمى متلازمة داوْن,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: كلمة 'منغله' تشير إلى صفة تشبيهية لمرض يصيب الإنسان بسبب نقصان في _______.
الخيارات:
أ) الكروموسومات
ب) الدهون
ج) الفيتامينات
د) الأعصاب",أ
مِنْقِعِرْ,منقعر كلمة باللهجة الغامدية، تعني مستلقٍ على ظهره,Southern,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: جمعان كان ________ على الأريكة بعد يوم طويل.
الخيارات:
أ) جالسًا
ب) منقعرًا
ج) واقفًا
د) راكضًا",ب
مني فايقلو,مني فايقلو بمعنى لست بمزاج جيد,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما قال الولد 'مني فايقلو'، كان يعبر عن أنه _____ .
الخيارات:
أ) في مزاج رائع
ب) لست بمزاج جيد
ج) سعيد جداً
د) مرتاح تماماً",ب
منيب,أي لا أريد,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال شخص 'أنا منيب _____'، فإنه يقصد أنه لن يذهب.
الخيارات:
أ) رايح
ب) جاي
ج) قاعد
د) نايم",أ
مهايطي,يكابر على الناس ويقول افعال وهو ليس بالمقدره على فعلها,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: إذا كان محمد _____، فإنه يتحدث عن أشياء لا يستطيع فعلها.
الخيارات:
أ) كافح
ب) مهايطي
ج) صادق
د) بارد",ب
مهجوم,اي يتعرض للهجوم وهو يختلف عن مقحوم. تقال الكلمة في مباريات كرة القدم لتنبيه من معه الكرة ان شخص ما هجم عليه.,General,"المهمة: املأ الفراغ باستخدام الكلمة المناسبة.
السؤال: عندما يركض اللاعب نحو الخصم، يُقال إنه __________.
الخيارات:
أ) مقحوم
ب) مهجوم
ج) محاصر
د) متراجع",ب
مهرهر,يطلع على الجزء المتدلي من القماش او أي شيء .,Central,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: الفستان جديد ولكنه ________ لأنها عريضة من الأسفل.
الخيارات:
أ) مهرهر
ب) مكسر
ج) مفرود
د) مقصوص",أ
مهوب,"مهوب هي اختصار ل "" ما هو ب "" وتعني باللغه العربيه الفصحى ""ليس"" يستحيل استخدام الكلمه بمفردها و يجب ان تلحق بكلمه او جمله ليتم المعنى كلمات تعني نفس المعنى ولكن يختلف النطق بأختلاف اللهجات: موب / ماهوب / مو / ماهو",Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قال أحدهم 'مهوب أنا اللي كسرت الكأس'، فإنه يعني ______.
الخيارات:
أ) هو من كسر الكأس
ب) أنا من كسر الكأس
ج) لا أحد كسر الكأس
د) هو من أحضر الكأس",أ
مهووس التقفّي,هو نوع من انواع الطلفوسيين (طلفسه) على الانترنت وهو الذي يبحث عن دلالات وعلامات واسامي الاشخاص على الانترنت ليكتشف حساباتهم على في مواقع التواصل الاجتماعي او ليجمع معلومات اكثر عنهم ، سواءًا لغرض التعرف على الشخص او لمجرد جمع المعلومات. يسمى ستوكر stalker ولكنه اكثر افراط منه.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: يُعتبر 'مهووس التقفّي' شخصًا يبحث عن دلالات وأسماء الأشخاص على الإنترنت ل____________.
الخيارات:
أ) التعرف عليهم
ب) التعلم منهم
ج) التسلية
د) القيام بمشاريع",أ
مو مئك,مو مئك بالجيزاني معناها وش عندك اي ماذا تريد,Northern,"المهمة: أكمل الجملة بالمصطلح المناسب.
السؤال: إذا أراد أحدهم أن يسأل عن رغبتك، يمكن أن يقول: '_______'.
الخيارات:
أ) مو مئك
ب) فين تروح
ج) وينك
د) كيف حالك",أ
مواعين,جمع ماعون وهي تطلق على الادوات النحاسية التي تستعمل في الطبخ والتي توجد في المطبخ.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عند الانتهاء من الطهي، يجب أن نقوم بغسيل ______.
الخيارات:
أ) المواعين
ب) الملابس
ج) الأطباق
د) الأواني",أ
موب,"كلمة ""موب"" تستعمل مثل كلمة ""مهوب "" او كلمة ""مو "" وهي للنفي",Western,"المهمة: أكمل الجملة التالية بكلمة مناسبة.
السؤال: خالد _____ ذكي.
الخيارات:
أ) موب
ب) سريع
ج) جميل
د) زين",أ
مودي,كلمه تطلق كاسم دلع لاسم محمد و هناك احد في برنامج اليوتيوب يطلق عليه اسم مودي الاسمر و تحبه اجمل فتاه في سلطنه عمان وهي زوز,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: كلمة 'مودي' هي ________ لمحمد.
الخيارات:
أ) اسم دلع
ب) لقب
ج) اسم عائلة
د) اسم مدينة",أ
موشح,(تهزئ ),Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما تقول لي شيئاً يجرحني، أشعر أنك _____.
الخيارات:
أ) موشح
ب) محترم
ج) طيب
د) سعيد",أ
مُوصْيه,اغسليه بالماء,General,"المهمة: أكمل الجملة بما يناسب.
السؤال: عندما أقول 'خوذي هذا الكاس و _______'، أعني بالـ______ 'مُوصْيه'.
الخيارات:
أ) اغسليه بالماء
ب) ضعيه في الفرن
ج) خذيها بسرعة
د) اتركيه هنا",أ
مولصه,"الدلع الزايد "" التميلح "" أللي لا جدوى منه !",Central,"المهمة: إكمال الجملة بالكلمة المناسبة.
السؤال: عندما تراه يتميلح بزيادة، يمكنك أن تقول إنه _____.
الخيارات:
أ) يتمولص
ب) يتفاخر
ج) يتسمم
د) يتذمر",أ
موهو تشا,"بمعنى ""ماذا تريد؟""",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'موهو تشا' تعني __________.
الخيارات:
أ) من أي مكان؟
ب) ماذا تريد؟
ج) هل أنت بخير؟
د) ما اسمك؟",ب
مويه,ماء,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: بغيت أشتري _______ من المتجر، عشان أسوي عصير.
الخيارات:
أ) فواكه
ب) مويه
ج) حليب
د) سكر",ب
ميانة,ميانة: وهي حالة اجتماعية، وارتياح نفسي اتجاه شخصاً ما؛ بحيث لا تكون هنالك حدود بينكما. والفعل منها يمون,General,"المهمة: أكمل الجملة بكلمة مناسبة.
السؤال: عندما أقول لك 'تمون وميانة بيننا', هذا يعني أنني أشعر _____ نحوك.
الخيارات:
أ) بالفتور
ب) بالراحة
ج) بالحب
د) بالقلق",ب
ميخالف,كتابة خاطئة ل ( ما يخالف ) والتي تعني : لا يسبب مشكلة او ما يخالف؟ اي : هل يسبب مشكلة؟,General,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: إذا لم يكن هناك أي مشكلة، عادي وقول __________.
الخيارات:
أ) يمكن
ب) ميخالف
ج) مافي
د) كل شي
الإجابة الصحيحة:",
ميد,ميد ب(العامية النجدية) وهي مرادفه لكمة قصد. وميد فعل جامد، أي لا يشتق منه لا فعل مضارع ولا أمر. مثال: لا تستطيع أن تقول يميد(للمضارع)، أو أميد (لأمر). × وبالغالب تتصل مع ضمائر النصب المتصلة، مثل: هاء الغائب: ميده. كاف الخطاب: ميدك. ياء المتكلم: ميدي. وقسها أيضاً على ضمائر الجمع: (ميدهم- ميدكم- ميدنا),Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: يعني 'ميد' في اللهجة النجدية ______.
الخيارات:
أ) تعبير
ب) قصد
ج) فعل
د) صفة",ب
ميدي,لي,Central,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عبارة: 'قال _____ يعني قال لي.'
الخيارات:
أ) ميدي
ب) أنت
ج) أنا
د) هو",أ
مير,"تأتي بأكثر من معنى وقد تختلف من شخص لآخر لكن الارجح ان تندرج بأحد المعاني التالية : - كلمة استفتاح او لجذب الانتباه واستدراك المحادثة وغالبا ما تأتي معها كلمة ""اقول"" ، تشبه كلمة ""اسمع"" عند استخدامها ككلمة جاذبة. - قد تعني : ( لكن ) - تأتي بمعنى عندما وتردفها كلمة ""يوم""",Central,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: ________ اقول: تذكر ذاك اليوم.
الخيارات:
أ) مير
ب) لكن
ج) عندما
د) يوجد",أ
ميفا,كلمة جنوبية تطلق على التنور,General,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: عندما أراد أن يخبرني أنه سيخبز، قال: 'سأستخدم ____ لخبز الخبز'.
الخيارات:
أ) الميفا
ب) الفرن
ج) التندور
د) الموقد",أ
نبيص,وصف يطلق على الشخص المغرور بشيء ما، والفعل نباصة.,Southern,"المهمة: أكمل الجملة بالخيارات المناسبة.
السؤال: فلان والله من شوفة النفس و ______.
الخيارات:
أ) الطموح
ب) النباصة
ج) الكرم
د) التواضع",ب
نبّيله,أداة صيد خاصة بالطيور مصنوعة من الحديد والمطاط,Western,"المهمة: اجعل الجملة كاملة بملء الفراغ.
السؤال: استخدم كلمة 'نبّيله' في الجملة: يقوم الصياد باستخدام ____ في الصيد.
الخيارات:
أ) محرك
ب) نبّيله
ج) قارب
د) شبكة",ب
نتفاصخ,نتفاصخ بمعنى نفطر (فطور) باللهجة الجازانية,Southern,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: نقول في الجازانية: 'تعال نتفاصخ في...'.
الخيارات:
أ) المتجر
ب) المطعم
ج) المستشفى
د) المدرسة",ب
نُحُوت,صفة للشخص العائن (النظول).,Central,"المهمة: استخدم الكلمة 'نُحُوت' في الفراغ.
السؤال: الشخص الذي يتصف بالعين هو __________.
الخيارات:
أ) سخي
ب) نحوت
ج) خجول
د) طموح",ب
نخ,بفتح النون وسكون الخاء بمعنى انسحب أو ترك الشيء خوفاً (تطلق خصوصًا على من يخاف وينسحب من الشجار),Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما شعر بالخوف، قرر أن _____ من المواجهة.
الخيارات:
أ) ينخرط
ب) ينخ
ج) يستمر
د) يتجاهل",ب
نخا,فعل - استنجد النصرة - طلب الانصاف والأسم نخوة.,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أحتاج إلى مساعدة، أتوجه بالقول '________'.
الخيارات:
أ) أطلب
ب) أنخا
ج) أبغى
د) أؤمن",ب
نخرور,المادة المخاطية في الأنف,Western,"المهمة: إكمال الجملة
السؤال: عندما يصاب عبدالعزيز بنزلة برد، يشعر بوجود ___ في أنفه.
الخيارات:
أ) ضباب
ب) نخرور
ج) خير
د) ريح",ب
نَدَى,هو قطرات الماء الموجودة في أوراق الأشجار والزجاج في الصباح الباكر,General,"المهمة: أكمل الجملة باليكون المناسبة.
السؤال: في الصباح الباكر، يمكن رؤية ______ على أوراق الأشجار.
الخيارات:
أ) شمس
ب) ندى
ج) غبار
د) ضباب",ب
نزيز,النزيز هو الإبتعاد بشكل منفرد اصل الكلمة : نز خلك ذيب نزيز ؛ كن ذئب متفرد معتد بذاتك,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: يعني النزيز __________ بشكل منفرد.
الخيارات:
أ) الاقتراب
ب) الابتعاد
ج) التجمع
د) التفاهم",ب
نسمر,معناها السهر بالليل,Southern,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: اليوم بنسمر عند __________.
الخيارات:
أ) جدتكم
ب) المدرسة
ج) السوق
د) النادي",أ
يلهم,يلهم بمعنى يأكل,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: أنا _____ العدس مع الأرز.
الخيارات:
أ) ألهم
ب) يلهم
ج) يشجع
د) يأكل",ب
نِشَب,أي تَعلّق وتستخدم ك صفة نَشبَه وتشير الى التعلّق بالشخص او بالشيء بشكل مزعج,Central,"المهمة: أكمل الجملة بما يناسب.
السؤال: عندما أقول 'إن الولد ______ في أمه'، فإن الكلمة المناسبة هنا هي:
الخيارات:
أ) هرب
ب) نشب
ج) جرح
د) قطع",ب
نشد,سأل,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما ____ الموضوع، فقد نستطيع الإجابة.
الخيارات:
أ) نشد
ب) رأى
ج) سكت
د) قرأ",أ
نشقة,النشقة هي سحب الهواء من الانف مع وجود الرعاف وتحدث عند البكاء او الاصابة بالزكام,General,"المهمة: أكمل الجملة التالية.
السؤال: يحدث 'نشقة' عند __________.
الخيارات:
أ) الضحك
ب) البكاء
ج) النوم
د) الأكل",ب
نص قيقا,كلمة تقال في وجود شخص ذو عقلية صغيرة (اهبل),General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يقول أحدهم 'يا نص قيقا'، فهو يقصد بأن الشخص لديه عقلية ______.
الخيارات:
أ) كبيرة
ب) صغيرة
ج) متزنة
د) غير واضحة",ب
نصا,نصا: (فعل): وتعني: - طلب نصرة (شخص) ما. - توجه قاصداً (مكاناً). ما. طالع نخا، فزع.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: يجب أن _____ أخي في حفل زفافه لأنه يحتاج إلى دعم.
الخيارات:
أ) أذهب
ب) أنصا
ج) أساعد
د) أواجه",ب
نصاب,كذاب,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا قلت أن باكر نصاب، فهذا يعني أنه شخص __________.
الخيارات:
أ) محترم
ب) كذاب
ج) متفوق
د) مسافر",ب
نِصع,نِصْع ، تَنْصِيع ، نَصَعْهَا ، مَنْصُوع ‏النِّصع‬⁩ هو الهدف الذي يتحدّى به الرامون بعضهم بعضًا لإصابته ، ويقولون عند الإصابة: ⁧‫نَصَعها‬⁩؛ أي: أصابها. والتنصيع: هو الاستهداف الجماعي على هدف.,General,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: في الألعاب، يعتمد تكتيك ­____ على الإطلاق الجماعي نحو الهدف نفسه.
الخيارات:
أ) التنصيع
ب) الانسحاب
ج) الهجوم الفردي
د) الدفاع",أ
نطل,نطل ينطل . أي يرمي الشيء,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما نقول 'انطل القلم' فهذا يعني ______.
الخيارات:
أ) اتركه
ب) غسله
ج) احضره
د) كسره",أ
نطله,نطله ( الحساوية ) تقال عن الشيء غير المرتب او المنظم,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كانت الغرفة 'نطله'، فهذا يعني أنها _____ .
الخيارات:
أ) مرتبة
ب) غير مرتبة
ج) نظيفة
د) واسعة",ب
نْعرَة,كلمة تقال على من لديه صفة الغرور أو ما يقل عن الغرور بدرجة أو درجتين,Western,"المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: إذا كان شخص ما يستخدم 'نْعرَة' فهذا يعني أنه _____ .
الخيارات:
أ) متواضع
ب) مغرور
ج) لطيف
د) حكيم",ب
نعفقة,فلان يتنعفق,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: فلان دائماً يتنعفق، وهذا يعني أنه ______.
الخيارات:
أ) يتدلل
ب) يذهب
ج) يعمل
د) ينتهي",أ
نعله,نعله هي كلمة لذكر شي سئ جدا جدا,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم كلمة 'نعله' لوصف شيء ______.
الخيارات:
أ) جميل
ب) سئ جدا جدا
ج) ممتع
د) رائق",ب
نعنبا,اختصار: لعن الله أبوك.,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما قال 'يا نعنبا ذا ذا الوجه'، كان يقصد __________.
الخيارات:
أ) أحترمك
ب) أهنك
ج) أحبك
د) ألعنك",د
نفج,نفج (فعل) - تعني ظهور كائنا ما أمامك فجأة، -وقد تعني طلوع كائناً ما من مخرجاً معين؛ كحفرة، أو شق على سطحا ما، أو فتحة ما.,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: كنت جالس وفجأة ______ بوجهي كائن غريب.
الخيارات:
أ) طار
ب) نفج
ج) هرب
د) صرخ",ب
نفروبك,هو مخلوف غير متصل يآتي لياخذك لمكان لا يعلمه الجن ولا العفاريت ولا يوجد على الجي بي اس والخرائط,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: كلمة 'نفروبك' تشير إلى _______ غير متصل.
الخيارات:
أ) مخلوف
ب) شخص
ج) مدينة
د) طعام",أ
نفسيّة,تستخدم حديثاً لوصف الشخص سريع الزعل والذي يسهل تعكير مزاجه و يضيق صدره على أي شيء,General,"المهمة: أكمل الجملة التالية بالكلمة المناسبة.
السؤال: عندما يتعكر مزاج محمد، نقول إنه صار ______.
الخيارات:
أ) مسالم
ب) نفسيّة
ج) رياضي
د) سعيد
الإجابة الصحيحة:",
نُفيخة,تعني البالونة,Western,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما أريد أن العب، أطلب من أمي أن ______ النفيخة.
الخيارات:
أ) تشتري
ب) تنفخ
ج) تصنع
د) تخلص",ب
نَقِبْ,نقب ويراد بها ثقب صغير وفي مادة نقب بلسان العرب النَّقْبُ: الثَّقْبُ في أَيِّ شيءٍ كان، نَقَبه يَنْقُبه نَقْباً.,Western,"المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: عندما أقول أنني 'نَقِبْتُ' في الخشب، أعني أنني ______ الخشب.
الخيارات:
أ) حفرت
ب) ثبّت
ج) ثقبت
د) لمست
الإجابة الصحيحة:",
نقفة,نقفة وجمعها نقفات.وتطلق على القول او الفعل او الموقف الخارج عن المألوف الذي يسبب الاحراج.فهو ناقف اي يعيب قول او فعل.ويقال نقفتك اي شرهت عليك ويقال قوم نقّافة اي يعيبون وينتقصون من البشر.وهو مشهور بين ابناء قبيلة بلحارث,Southern,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: عندما يقوم شخص بإحراج آخر بحديثه، يمكن أن نقول إنه ""________"".
الخيارات:
أ) يتشجع
ب) ينقض
ج) ينقفة
د) يتحسر",ج
نقنقة,وجبة خفيفة أو تسالي (سناك),Western,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: عند مشاهدة التلفاز، أحب أن أتناول ________ مع العائلة.
الخيارات:
أ) نقنقة
ب) عزيمة
ج) مجاملة
د) كتابة",أ
نكاش,يعني عود اسنان,Southern,"المهمة: املأ الفراغ بكلمة صحيحة.
السؤال: الكلمة التي تعني عود أسنان هي _____ .
الخيارات:
أ) نكاش
ب) بطاقة
ج) قلم
د) كمبيوتر",أ
نكبة,هو الشخص الذي يجلعك في ورطة أو في موفق لا تحسد عليه,Western,"المهمة: أكمل الجملة التالية.
السؤال: أحمد _____، طلعنا البر ولا جاب معه العزبة.
الخيارات:
أ) طربان
ب) نكبة
ج) كريم
د) غشيم",ب
نكبه,"المشكلة, الورطة وأيضا تقال للشخص الذي يتسبب بالمشاكل",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يحدث حادث كبير يُقال إنه _____.
الخيارات:
أ) نكبه
ب) فرحة
ج) هدوء
د) احتفال",أ
نَمّاك,كذاب,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يتحدث شخص بشكل مبالغ فيه عن نفسه، نقول عنه إنه _____.
الخيارات:
أ) نَمّاك
ب) صادق
ج) محب
د) طموح",أ
نمتسن,اركب معي السيارة كودنا نمتسن الغدا عند امي,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: أريد أن ____ معي السيارة كودنا نمتسن الغدا عند امي.
الخيارات:
أ) تذهب
ب) تأتي
ج) تركب
د) تبقى",ج
نمك,مصطلح حجازي يعني بدون خدع او كذب,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: تستخدم كلمة 'نمك' في الحديث عن الشفافية وعدم ______.
الخيارات:
أ) الكذب
ب) الصدق
ج) المودة
د) الأخلاق",أ
كبس,بمعني راح تاكل تراب,Western,"المهمة: أكمل الجملة بالعبارة المناسبة.
السؤال: عندما قال لي 'كبس'، فهمت أنه يعني _____.
الخيارات:
أ) سأسافر
ب) سأكل تراب
ج) سأذهب للبيت
د) سأشتري طعام",ب
نيم,نائم,Central,"المهمة: أكمل الجملة باستخدام الكلمة المناسبة.
السؤال: الطفل قال لأمه: 'نيم' يعني أنه ____ براحته.
الخيارات:
أ) غادر
ب) نائم
ج) يلعب
د) يأكل",ب
هاش,الكلمة جنوبية. من اللهجة الفيفية.تعني ذهب.,General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: ذهب أحمد إلى السوق ليشتري _____ من السوق.
الخيارات:
أ) هاش
ب) قهوة
ج) لبن
د) خبز",أ
هاض,هاض(فعل): وتعني النشاط والتهييج والأثارة والحماسة.,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: الشباب ____ في الملعب بعد الهدف.
الخيارات:
أ) ناموا
ب) هاضوا
ج) رحلوا
د) تأخروا",ب
هاك / هاتس,لغة اهل حائل . هاك : تعني خُذ هذا الشي من يدي . وتقال للذكر هاتس : تعني خُذ هذا الشي من يدي . وهي تقال للانثى هاتس : تعني كذا او بالاحرى هكذا .,Northern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول لك 'هاك'، فإنني أعني ________.
الخيارات:
أ) خذ هذا الشي من يدي
ب) انظر إلى هذا الشي
ج) أرسل إلي هذا الشي
د) أعطني هذا الشي",أ
هاه,تعبير يستخدم في اكثر من استخدام ، منها : - لطلب اعادة كلام شخص ما تعذرًا لعدم الاستماع اليه ( ماذا ) - لطلب الرد بعد اعطاء التخيير أو الرأي,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما أقول 'هاه؟'، فإنني أطلب ______.
الخيارات:
أ) الاستماع مرة أخرى
ب) العبارة السابقة
ج) رأيك
د) الراحة",ب
هاوو,كلمة تقال بيننا وتدل على التعجب واكثر الاحيان تقال دائما .,Central,"المهمة: أكمل الجملة الآتية.
السؤال: عندما أرى شيئاً مفاجئاً، أقول '____'.
الخيارات:
أ) هاوو
ب) مرحبا
ج) وداعا
د) مع السلامة",أ
هب لك,تعني خذ لك,Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: إذا كنت تريد أن تعطي شخصًا شيئًا، يمكنك أن تقول له '_____ لك'.
الخيارات:
أ) اترك
ب) اعط
ج) هب
د) احضر",ج
