Term,Meaning_of_term,Dialect type,Cultural_Interpretation_question,correct_answer
طَرَّش,فعل بمعنى (تَقَيَّأ) تصريفه: طَرَّش، يِطَرِّش، طُراش,General,"المهمة: وضح الفهم الثقافي للكلمة.
السؤال: لماذا قد تُستخدم كلمة 'طَرَّش' بشكل مكثف في اللهجة السعودية؟
الخيارات:
أ) لأنها تعبر عن الحالة الصحية
ب) لأنها تشير إلى لمحة من الشجاعة
ج) لأنها تصف نوع من الطعام
د) لأنها تتعلق بالأسفار",أ
خرمس,مظلم حالك السواد,Eastern,"المهمة: اشرح السياق الثقافي لكلمة 'خرمس'.
السؤال: ما هو السياق الثقافي لاستخدام كلمة 'خرمس' في اللهجة؟
الخيارات:
أ) تعبر عن ظلام الليل
ب) تشير إلى الفجر
ج) تستخدم لوصف السماء الصافية
د) تتعلق بالأفراح والمناسبات",أ
طُرْطَة,كلمة حجازية تطلق على التورتة.,Southern,"المهمة: اشرح أهمية الكلمة في الثقافة السعودية.
السؤال: ما هي أهمية كلمة 'طرطة' في الثقافات المحلية؟
الخيارات:
أ) لا تحمل أي دلالات خاصة.
ب) تعبر عن حلويات تُعد في المناسبات.
ج) تستخدم في الشـعر الشعبي.
د) تشير إلى نوع من المشروبات.",ب
طريطبان,الطريطبان هي الطماطم أو ما يعرف بالبندورة,Central,"المهمة: فهم التركيبة الثقافية المتعلقة بكلمة 'طريطبان'.
السؤال: ما هو السياق الثقافي لكلمة 'طريطبان' في اللهجة السعودية؟
الخيارات:
أ) نوع من الأزياء
ب) نوع من الطعام
ج) نوع من الشعب
د) لعبة شعبية",ب
طعس,"""طعس"" مصطلح لها معنيان ، الأول يُقصد به ""البدو"" مثل : ""شف الطعس ذاك ، أنت طعس ؟ "" الثاني يقصد به النفود ، الكثبان الرمليه الكبيره . ""ارق الطعس ذاك""",Southern,"المهمة: اشرح كيف يعكس استخدام كلمة 'طعس' بعض القيم الثقافية.
السؤال: ماذا تعكس كلمة 'طعس' في الثقافة السعودية؟
الخيارات:
أ) الترابط مع الطبيعة والصحاري
ب) التقدم العمراني
ج) الاقتصادية
د) النقد الاجتماعي",أ
طعّه,هي المشكله الكبيره مثل انك سرقت بقاله او هربت من المدرسه او ضربط راعي تكسي ببيض معناتها انك سويت طعه,Southern,"المهمة: حدد أهمية كلمة 'طعّه' في الثقافة السعودية.
السؤال: ما الذي يشير إليه استخدام كلمة 'طعّه' في المجتمع السعودي؟
الخيارات:
أ) حالة من الفخر والاعتزاز
ب) تعبير عن السلوكيات السلبية
ج) نمط من العادات الجيدة
د) نقاش بين الأصدقاء",ب
طفران,لا يملك نقود,General,"المهمة: حدد الثقافة أو العادة المرتبطة بكلمة 'طفران'.
السؤال: ما السياق الثقافي الذي تستخدم فيه كلمة 'طفران' في اللهجة السعودية؟
الخيارات:
أ) التفاخر بالمال
ب) التعبير عن الفقر
ج) الاحتفال بالأعياد
د) ذكر الهوايات",ب
طفسة,شيء يسير جدا (تنطق: بكسر اللام وسكون الفاء وفتح السين),Central,"المهمة: اشرح المفهوم الثقافي المرتبط بكلمة 'طفسة'.
السؤال: كيف تعكس كلمة 'طفسة' الثقافة السعودية؟
الخيارات:
أ) تدل على الكرم
ب) تشير إلى التواضع في الحديث
ج) تعبر عن الهدر
د) تتعلق بالتفاخر",ب
طقاع الأرض,اسم من اسماء البطاطس في لهجة بعض قبائل نجد والطقاع هو اخراج الريح مع صوت,Central,"المهمة: اختر التفسير الثقافي لكلمة 'طقاع الأرض'.
السؤال: ما هو التفسير الثقافي لكلمة 'طقاع الأرض' في المجتمع النجدي؟
الخيارات:
أ) يشير إلى عادات الطعام في القبائل
ب) يدل على نوع من الألعاب الشعبية
ج) يرمز لوظيفة اجتماعية مهمة
د) يشير لصفة قديمة في الرجال
الإجابة الصحيحة:",
طقح,صفة تجمع ما بين المصاله و الفهاوه و سوء التدبير و سهولة التشتت عن الواقع,Central,"المهمة: قم بتفسير معنى كلمة 'طقح' في السياق الثقافي.
السؤال: كيف يمكن فهم كلمة 'طقح' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن الشخصية النشيطة المتعددة المهارات.
ب) تشخص خصائص عدم التركيز وسوء التدبير.
ج) تشير إلى الخير والبركة.
د) ترتبط بالقيادة والحكمة.",ب
طقطقة,كلمة شبابية لها معنيان: - استهبال ( يعني كلام غير جاد أو كذب) - سخرية,General,"المهمة: حدد التفسير الثقافي لكلمة 'طقطقة'.
السؤال: ما الذي يعكسه استخدام كلمة 'طقطقة' في الثقافة السعودية؟
الخيارات:
أ) الجدية في المناقشة
ب) عدم الاعتناء بكلام الآخر
ج) الروح المرحة والسخرية
د) الاحترام المتبادل",ج
طقطقه,هو فعل أو قول (يكون غالبًا استفزازيًا وغير متوقع) هدفه الضحك. وليس بالضرورة أن يكون أمراً تحرشيًا فقد يكون مجرد أمر ما مثير للفكاهة أو السخرية.,General,"المهمة: نقح الفكرة الثقافية خلف كلمة 'طقطقه'.
السؤال: كيف تعكس كلمة 'طقطقه' الثقافة السعودية؟
الخيارات:
أ) تعبر عن جدية المجتمع
ب) تعكس روح الدعابة والمرح
ج) تشير إلى العزلة الاجتماعية
د) تمثل التقليد الأعمى",ب
طقطوقي,كثير الطقطقة على الناس,Western,"المهمة: توضيح معنى كلمة 'طقطوقي' في السياق الثقافي.
السؤال: كيف تعكس كلمة 'طقطوقي' بعض السمات الثقافية في المجتمع السعودي؟
الخيارات:
أ) تعبر عن الروح الاجتماعية والتفاعل بين الناس.
ب) تعني الكسل وعدم النشاط.
ج) تشير إلى قلة الكلام.
د) تمثل الجدية في التعامل.",أ
طقعان,تقال على الانسان اللي ما عندو سالفة. مشتقة من الطقعة والطقاع بمعنى ضرطة.,Central,"المهمة: فسر العبارة التالية.
السؤال: ماذا تعني كلمة 'طقعان' في الثقافة السعودية؟
الخيارات:
أ) تعني شخص حكيم
ب) إشارة إلى شخص يتحدث بطريقة غير مفهومة
ج) تعني شخص يستمتع بالحياة
د) تعني شخص يتمتع بشخصية قوية",ب
طقعه,طقعه : هي عباره عن ريحه تخرج من اسفل الظهر ( المؤخره ),Central,"المهمة: اشرح المفهوم الثقافي المرتبط بكلمة 'طقعه'.
السؤال: ما هو التفسير الثقافي لكلمة 'طقعه' في اللهجة السعودية؟
الخيارات:
أ) تعبير عن الإعجاب
ب) رائحة غير مستحبة
ج) عادة بين الأصدقاء
د) تعبير عن الفرح",ب
طلاس,طلاس بمعنى الشخص الذي يتكلم ويتحدث بكلام غير صحيح,General,"المهمة: تفسير استخدام كلمة 'طلاس' في الثقافة السعودية.
السؤال: لماذا تعتبر كلمة 'طلاس' مهمة في الثقافة السعودية؟
الخيارات:
أ) تعبر عن احترام الكلام
ب) تدل على الفخر بالمعلومات الصحيحة
ج) تشير إلى أهمية صدق الحديث
د) غير متاحة",ج
طلسك,هزمك شر هزيمة,Western,"المهمة: اشرح المعنى الثقافي لكلمة 'طلسك'.
السؤال: ما الذي تعكسه كلمة 'طلسك' عن الثقافة الحجازية؟
الخيارات:
أ) الفخر والانتصار
ب) الهزيمة والإخفاق
ج) التعاون والمساعدة
د) الشباب والحيوية",ب
خقق,تعني هذة الكلمة ان الشخص او الشي جميل جدا او اثار الانتباة,Central,"المهمة: فسر الاستخدام الثقافي لكلمة 'خقق'.
السؤال: ما الذي تعبر عنه كلمة 'خقق' في الثقافة السعودية؟
الخيارات:
أ) تعبير عن الجمال والبهاء
ب) تعبير عن الفقر
ج) تعبير عن الحزن
د) تعبير عن الجهل",أ
طلفسه,مِطَلْفِس ، طَلْفَس طَلْفِسُه (امر) ، اطَلْفِس ، طَلْفُوسِي الطلفسه هي جمع المعلومات واختبارها بشكل مكثف والمطلفَس هو الذي عنده تشعّب في المعلومات الدقيقه والواسعه والذي يختبرها ويقيمها باستمرار. والمطلفِس هو الذي يقوم بعملية البحث او اختبار امر ما. ونقول عليهما طلفوسيين.,General,"المهمة: تفسير معنا كلمة 'طلفسه' في الثقافة السعودية.
السؤال: ماذا تعني 'طلفسه' في المفهوم الثقافي السعودي؟
الخيارات:
أ) الاهتمام بجمع المعلومات
ب) عدم أهمية المعلومات
ج) فقط للمتخصصين
د) فترة من الزمن",أ
طمبيقه,عبارة تعني ، دلخ أو اهبل,Southern,"المهمة: اشرح الدلالة الثقافية للكلمة.
السؤال: لماذا تُستخدم كلمة 'طمبيقه' في اللهجة الحجازية؟
الخيارات:
أ) لوصف الشخص الذكي
ب) لوصف الشخص الخجول
ج) لوصف الشخص الذي يتصرف بطريقة غير عقلانية
د) لوصف الشخص الذي يتحدث بصوت عالٍ",ج
طمس,اخفض رأسك,General,"المهمة: وضح معنى الكلمة في الثقافة السعودية.
السؤال: ما معنى 'طمس' في الثقافة السعودية؟
الخيارات:
أ) تعني التفاخر
ب) تعني الانسحاب
ج) تعني حلاقة الشعر
د) تعني خفض الرأس",د
طناز,طناز ومنها طنازة ويقال تطنز عليّ أي عايبني.,General,"المهمة: تفسير معنى كلمة 'طناز' في السياق الثقافي السعودي.
السؤال: ما هو السياق الثقافي الذي تتعلق به كلمة 'طناز'؟
الخيارات:
أ) الثقافة الفنية
ب) العلاقات الاجتماعية
ج) التعليم
د) الرياضة",ب
طنازه,السخرية والاستهزاء,General,"المهمة: وضح كيف تعكس كلمة 'طنازه' ثقافة المجتمع السعودي.
السؤال: ما الذي تعكسه كلمة 'طنازه' عن المجتمع السعودي؟
الخيارات:
أ) احترام الآخرين
ب) روح الدعابة والسخرية
ج) حب الوحدة
د) البحث عن المعرفة",ب
طنبز,"فعل, تعني وضعية السجود وكأنك تلتقط قلم الرصاص الذي تحت الطاولة وفي الغالب الكلمة صادرة من منطقة القصيم",Central,"المهمة: هل صحيح أن كلمة 'طنبز' تُستخدم فقط في منطقة القصيم؟
السؤال: هل تعكس كلمة 'طنبز' جزءًا من التراث الثقافي لمنطقة القصيم؟
الخيارات:
أ) نعم
ب) لا",أ
طنبوج,شخص غبي لا يفهم,General,"المهمة: فسر العبارة المتعلقة بكلمة 'طنبوج'.
السؤال: ما هو الدور الثقافي لكلمة 'طنبوج' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الذكاء
ب) تعبير عن الغباء
ج) تعبير إيجابي
د) تعبير أدبي",ب
طنَش,أي لم يعطي إهتماماً,General,"المهمة: اشرح إيحاء كلمة 'طنَش' في السياق الثقافي السعودي.
السؤال: ما الذي تدل عليه كلمة 'طنَش' في الثقافة السعودية؟
الخيارات:
أ) تعني الاهتمام
ب) تعني التجاهل وعدم الاكتراث
ج) تعني الاحترام والمودة
د) تستخدم للتعبير عن القلق",ب
دبش,الدبش تسمى جهاز البنت قبلا الزواج في جازان ، وبمعنى اخر الدبش الغنم لاهل نجد,Southern,"المهمة: وضح المعنى الثقافي لكلمة 'دبش'.
السؤال: ما الأهمية الثقافية لكلمة 'دبش' في السياق السعودي؟
الخيارات:
أ) تعبر عن استعداد الاحتفال بالزواج
ب) رمز للغنى
ج) نوع من الأصالة",أ
طهبلة,طهبلة تستخدم عادة كفعل بمعنى فعل كل شيء او اثارة الفوضى لغرض المتعة,Southern,"المهمة: اشرح لماذا تعتبر 'طهبلة' جزءًا من الثقافة السعودية.
السؤال: ما هو التفسير الثقافي لكلمة 'طهبلة' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الإبداع الفني
ب) تعبير عن الشجاعة
ج) تعبير عن التسلية والمرح في التجمعات
د) تعبير عن الهدوء",ج
طوفرية,المقصود بها الصينية التي يحمل فيها الطعام لتقديمه,Central,"المهمة: اشرح الاستخدام الثقافي لكلمة 'طوفرية'.
السؤال: ما هو الدلالة الثقافية لكلمة 'طوفرية' في المجتمع السعودي؟
الخيارات:
أ) تعني الأناقة في اختيار الملابس.
ب) تشير إلى تقاليد الضيافة وتقديم الطعام.
ج) تدل على أهمية العمل الجماعي.
د) تعبر عن الترفيه والاحتفالات.",ب
طوفِرِيهّ,كلمة تطلق على الصينية ( وهي مايوضع عليهاالاكل ),Central,"المهمة: فسر مفهوم الكلمة 'طوفِرِيهّ' في السياق الثقافي.
السؤال: كيف تعكس كلمة 'طوفِرِيهّ' الثقافة نجدية في التعامل مع الطعام؟
الخيارات:
أ) تعبر عن عادات تناول الطعام
ب) تشير إلى الأدوات المستخدمة في المطبخ
ج) تعني طريقة إعداد الطعام
د) توضح أسلوب الضيافة",ب
طولع,اَي انحشر أو كسح,Central,"المهمة: وضح ما هو المعنى الثقافي لكلمة 'طولع'.
السؤال: ما الذي تعبر عنه كلمة 'طولع' في الثقافة السعودية؟
الخيارات:
أ) الانحصار في منطقة محددة
ب) التحرر من القيود
ج) الارتباط بالأسرة
د) التوجه نحو الشجاعة",أ
طَيب,طيب في الفصحى تعني الشيء الجيد، والجمع طيبات وعكس الطيبات الخبائث. وفي العامية تستخدم في حالتين: الموافقه. ووصف الحال. . ويرادف طيب بالفصحى بخير او تمام او حسناً ويرادف طيب بالعامية كويس,General,"المهمة: حدد معنى كلمة 'طَيب' في السياق السعودي.
السؤال: ما هي الآثار الثقافية لاستخدام كلمة 'طَيب' في المحادثات اليومية؟
الخيارات:
أ) تعبر عن الموافقة
ب) تعني رفض الشيء
ج) لا تعني شيئاً
د) تستخدم في الأغراض الرسمية",أ
ظده,مرض قديم,Northern,"المهمة: فسر المعنى الثقافي لكلمة 'ظده'.
السؤال: ما الطريقة التي تعبر بها كلمة 'ظده' عن جزء من التراث الثقافي في نجد؟
الخيارات:
أ) تزيد من معرفة التاريخ الصحي
ب) تتعلق بفن الطهي
ج) تشارك في الحكايات الشعبية
د) تتعلق بتربية الحيوانات",أ
ظراط,هي تقال للفتى او الفتاه كريهه الرائحه,Southern,"المهمة: قم بتفسير الكلمة في سياقها الثقافي.
السؤال: ما الذي تعكسه الكلمة 'ظراط' عن الثقافة المحلية في نجد؟
الخيارات:
أ) تعبر عن الترابط الاجتماعي
ب) تشير إلى كرم الضيافة
ج) تعكس قيم النظافة
د) تنبه إلى عدم الارتياح",د
ظريط,ظريط من ظرط وغالبًا تكون ظريطة ظَرَطَ مرادفها طقع ، وتعني اخرج ريحًا اما ظْريط/ظريطة ظريط—> مذكر ظريطة—< مذكر/مؤنث فهو الشخص كثير الحركة أو المزعج وغالبًا وا تطلقها الامهات على ابنائهن الذكور والإناث,Central,"المهمة: فسر العبارة التالية بشكل صحيح.
السؤال: ما المقصود باستخدام كلمة 'ظريط' في الثقافة السعودية؟
الخيارات:
أ) تشير إلى طعام مفضل
ب) تدل على نشاط زائد لدى الأطفال
ج) تعبر عن شعور الوحدة
د) تصف حالة من السعادة",ب
ظعراط,الظعراط من الزواحف وهوا الوزغ يعش في المنازل القديمه والمهجوره,Central,"المهمة: حدد الفهم الثقافي الخاص بكلمة ظعراط.
السؤال: ما الذي يدل عليه استخدام كلمة 'ظعراط' في الثقافة السعودية؟
الخيارات:
أ) تدل على أجواء البيت القديم
ب) تشير إلى حياة الرفاهية
ج) تعني نوع من الحفلات
د) تشير إلى مطعم قديم",أ
ظلافيع,أشياء موضوعة بشكل غير مرتب,Central,"المهمة: فسر العبارة التالية.
السؤال: لماذا تُعتبر كلمة 'ظلافيع' مستخدمة بشكل شائع في اللهجة النجدية؟
الخيارات:
أ) لأنها ترتبط بالفوضى
ب) لأنها تعبر عن النظام والترتيب
ج) لأنها تتعلق بالزراعة
د) لأنها تتعلق بالتقاليد القديمة",أ
دحلسة,دحلسةعبارة عن اسلوب او وسيلة ترضية للشخص حتى تصل معه للهدف المطلوب,Western,"المهمة: تحدث عن السياق الثقافي لكلمة 'دحلسة'.
السؤال: ما هو الدور الثقافي لكلمة 'دحلسة' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن روح التعاون
ب) تعبير عن المنافسة
ج) تعبير عن الفشل
د) تعبير عن الاستهزاء",أ
عاد,عاد: كلمة لا دور لها بالجملة، لكنها تضاف لأي جملة لتجذب المستمع، وقد توضع في جمل تصريحية أو تعجبية أو طلبية. وهي من ال (interjections) مثل: مم، اها، أيه.,Central,"المهمة: حدد التفسير الثقافي الصحيح لكلمة 'عاد'.
السؤال: ما هو التفسير الثقافي لكلمة 'عاد' في التواصل السعودي؟
الخيارات:
أ) هي كلمة تشير إلى الحيوانات
ب) تستخدم للتعبير عن التعجب في كل الحالات
ج) لها دور جاذب في المحادثة
د) تعني 'مع السلامة'",ج
درفسه,((درفسه)) نوع من انواع النياق باللهجه الحجازيه <<وقال البعض انهاا تقال للناقه العرجاء,Western,"المهمة: اشرح أهمية 'درفسه' في الثقافة السعودية.
السؤال: لماذا يُعتبر مصطلح 'درفسه' مهماً في الثقافة الحجازية؟
الخيارات:
أ) لأنه يشير إلى نوع معين من النياق
ب) لأنه مرتبط بالتراث الفني
ج) لأنه يستخدم في الطقوس الدينية
د) لأنه يمثل ألوان الثقافة الحديثة",أ
درو,يعني غبي,Central,"المهمة: ما الذي تعكسه كلمة 'درو' عن الثقافة في المناطق التي تستخدمها؟
السؤال: ماذا تعني كلمة 'درو' بالنسبة للثقافة الخليجية؟
الخيارات:
أ) تعبر عن الذكاء
ب) تعبر عن البساطة
ج) تعكس الفكاهة
د) تعبر عن ضعف الفهم",د
عان,"المعنى باختصار "" انظر "" مأخوذ من المعاينة !",Central,"المهمة: تفسير كلمة 'عان' في السياق الثقافي.
السؤال: ما هو السياق الثقافي لكلمة 'عان' في اللهجة النجدية؟
الخيارات:
أ) تعبر عن المعاناة.
ب) تشير للمرح.
ج) تستخدم لتشجيع.
د) تدل على الرفاهية.",أ
عانه,كلمة يستخدمها اهالي الباديه بمعنى انظر اليه ويختلف المعنى بحسب سياق الجمله,General,"المهمة: اختر التفسير الثقافي المرتبط بكلمة 'عانه'.
السؤال: ما الذي تعبر عنه كلمة 'عانه' في الثقافة السعودية؟
الخيارات:
أ) راحة
ب) دعوة للنظر
ج) تحدي
د) استهزاء",ب
عاني,بمعنى أنظُر,Central,"المهمة: حدد ما تعبر عنه كلمة 'عاني' في الثقافة السعودية.
السؤال: ما هو السياق الثقافي لكلمة 'عاني' في اللهجة السعودية؟
الخيارات:
أ) الدعوة للنظر إلى شيء
ب) الإشارة إلى عدم التفاهم
ج) التعبير عن الفرح
د) تقبل الانتقادات",أ
عانيّة,"عَانِيَّة العانية هي ما يقدم من اموال او هدايا لها قيمة كبيره (سيارة او ارض) للرجل الذي تزوج كدعم له في هذا الزواج ويسمى عند بعض القبائل "" رفد "" اي عطيّة",Western,"المهمة: حدد العبارة التي تعكس الفهم الثقافي الصحيح لكلمة 'عانيّة'.
السؤال: ما الذي تمثله 'عانيّة' في الثقافة السعودية؟
الخيارات:
أ) اعتراف بالضعف
ب) دعم للمرأة
ج) دعم للرجل في الزواج
د) تعبير عن الفخر",ج
عايرة,زاوية المنزل وجمعها عيّر,Central,"المهمة: اشرح مفهوم كلمة 'عايرة' في الثقافة المحلية.
السؤال: ما هو التفسير الثقافي لكلمة 'عايرة' في اللهجة السعودية؟
الخيارات:
أ) كلمة تشير إلى الفضاء الخارجي.
ب) تعبر عن الأمكنة في المنزل.
ج) تفسر معنى الالتقاء بالناس.
د) تشير إلى مساحات العمل.",ب
عبد,كلمة عنصرية تقال للسود (الخوال) . وهي مأخوذه من القرن العشرين عندما كان السود يعملون لدى البيض بمقابل المال . وكان البيض يلقون عليهم هذا الاسم بسبب عملهم كخوادم . ولكن اتى الملك فيصل بن عبدالعزيز آل سعود -رحمه الله- وقام بتحريرهم جميعا عام ميلادي . وليست المملكة العربية السعودية فقط التي فيها تلك العنصرية . ايضا الغرب . يستخدمون المصطلح Nigger في الولايات المتحدة الأمريكية . وبقية دول العالم الأول ولكن أتى الرئيس الأمريكي السابق ابراهام لينكولن وقام بتحرير العبيد في الولايات المتحدة الأمريكية عام ميلادي . قال تعالى يَا أَيُّهَا النَّاسُ إِنَّا خَلَقْنَاكُمْ مِنْ ذَكَرٍ وَأُنثَى وَجَعَلْنَاكُمْ شُعُوبًا وَقَبَائِلَ لِتَعَارَفُوا إِنَّ أَكْرَمَكُمْ عِنْدَ اللَّهِ أَتْقَاكُمْ إِنَّ اللَّهَ عَلِيمٌ خَبِيرٌ سورة الحجرات (),Western,"المهمة: فسر السياق الثقافي لاستخدام كلمة 'عبد'.
السؤال: كيف يعكس استخدام كلمة 'عبد' في المجتمع السعودي الأبعاد الثقافية؟
الخيارات:
أ) يشير إلى العبودية والتاريخ العنصري
ب) يمثل الصداقة
ج) يعبر عن الثقافة المحلية
د) يدل على القوة والنفوذ",أ
عبنّه,عبنه : أي يبدو أنه,Western,"المهمة: اشرح في أي سياق ثقافي يُستخدم مصطلح 'عبنّه'.
السؤال: كيف يعكس استخدام كلمة 'عبنّه' في اللهجة الحجازية الخصوصية الثقافية؟
الخيارات:
أ) يعطي دلالة على الشك أو الإحتمال.
ب) يستخدم فقط في الكتابة.
ج) يدل على الفخر والسعادة.
د) غير متاح.
الإجابة الصحيحة:",
عبيان,مصطلح يطلق حلى محبين الLolis (البنات الصغار) الذين سيتم القبض عليهم من قبل الF.B.I,General,"المهمة: حدد التفسير الثقافي لكلمة 'عبيان'.
السؤال: كيف يُفهم مصطلح 'عبيان' في الثقافة السعودية؟
الخيارات:
أ) كمجموعة من الأبطال
ب) كمصطلح يحمل طابع الفرح
ج) كمصطلح سلبي يشير لمحبين البنات الصغار
د) كطريقة تعبير عن الامتنان",ج
عترمه,هو الرجل السمين,Central,"المهمة: اشرح ما تعبر عنه كلمة 'عترمه' في الثقافة السعودية.
السؤال: ماذا تعني كلمة 'عترمه' في السياق الاجتماعي في السعودية؟
الخيارات:
أ) تشير إلى شخص يمتاز بوزن زائد.
ب) تشير إلى شخص قوي البنية.
ج) تشير إلى شخص محبوب.
د) تشير إلى شخص سريع الحركه.",أ
عديسه,"كلمة (عديسه) هي كلمة خاصه في قبيلة الشرارات في شمال المملكه العربيه السعوديه. تعني هذه الكلمه عندما ياتي شخص غير مرغوب به ولا يريدون ان سمع مايقولونه يقولون هذا الكلمه حتى يوضح له ان هناك شخص يريد ان ياتيهم. وهي مثل كلمة "" في الجو غيم""",Northern,"المهمة: قم بتفسير المفهوم الثقافي وراء كلمة 'عديسه'.
السؤال: لماذا يستخدم الناس كلمة 'عديسه' في ثقافة قبيلة الشرارات؟
الخيارات:
أ) لتحديد الأشخاص المرغوب فيهم
ب) للإشارة إلى المجاملات
ج) للتعبير عن السعادة
د) للتواصل في الأحداث العامة",أ
عرانص,"تطلق على قطع الاناناس ""في منطقة القطيف""",Eastern,"المهمة: فكر في السياق الثقافي لكلمة 'عرانص'.
السؤال: أي مما يلي يعكس استخدام كلمة 'عرانص' في الثقافة السعودية؟
الخيارات:
أ) العرانص تُعتبر طعام مفضل في الاحتفالات.
ب) العرانص تستخدم في الكتب.
ج) العرانص نوع من اللباس التقليدي.
د) العرانص تُعتبر طعام صحي.",أ
عربجي,الشخص الفض الغليظ واللذي لا يبالي لعواقب الامور,Central,"المهمة: فسّر المعنى الثقافي لكلمة 'عربجي'.
السؤال: ماذا تعني كلمة 'عربجي' في السياق الثقافي السعودي؟
الخيارات:
أ) تعني شخص محترم
ب) تعني شخص غليظ ولا يبالي
ج) تعني شخص شجاع
د) تعني شخص كريم
الإجابة الصحيحة:",
عربون صداقه,يعني لما اريد اقول لشخص هذه هديه صداقتنا المسبقه,Western,"المهمة: تفسير دلالة العبارة في الثقافة السعودية.
السؤال: ماذا تعني يقدم 'عربون صداقه' في الثقافة السعودية؟
الخيارات:
أ) يريد الاعتذار
ب) يشير إلى قيمة الصداقة
ج) يعبر عن المنافسة
د) لمبادلة الهدايا",ب
عربية كرو,وهي العربية التي يقودها حصان او حصانين وتدعى لدى أخواننا المصريين ب (الحنطور ),Western,"المهمة: اشرح العلاقة الثقافية لكلمة 'عربية كرو'.
السؤال: لماذا تُعتبر 'عربية كرو' جزءاً من التراث في المملكة العربية السعودية؟
الخيارات:
أ) لأنها تتعلق بالزراعة
ب) لأنها تمثل وسائل النقل التقليدية
ج) لأنها تُستخدم في الاحتفالات فقط
د) لأنها مرتبطة بالكهرباء",ب
عرق,هي الكثبان الرملية,General,"المهمة: فسر المعنى الثقافي لكلمة 'عرق'.
السؤال: ما الذي تمثله كلمة 'عرق' في الثقافة السعودية؟
الخيارات:
أ) رمز للثراء
ب) كلمة تستخدم في الحديث عن الصحراء
ج) نوع من الأطعمة
د) اسم مألوف لشخص",ب
عرنين,انف الناقه وجمعها عرانين,General,"المهمة: حدد معنى كلمة 'عرنين' في سياق الثقافة السعودية.
السؤال: كيف يتم استخدام كلمة 'عرنين' في الثقافة السعودية؟
الخيارات:
أ) تعني اسم بنت
ب) تشير إلى التفخيم
ج) تستخدم لوصف المحبة
د) تعني انف الناقه",د
عروة,عروة: هي ما يمسك به الشيء. مثل: مقبض الباب، أو مسكة الكوب والعصا، والأبريق،,Central,"المهمة: وضح الفهم الثقافي لكلمة 'عروة'.
السؤال: كيف تُعتبر كلمة 'عروة' في الثقافة السعودية؟
الخيارات:
أ) تعبر عن القوة والتمسك
ب) تعني التساهل
ج) تعبر عن الضياع
د) مرتبطة بالحرية",أ
عري,العري : ذكر القط الضخم,Western,"المهمة: فسر الاستخدام الثقافي لكلمة 'عري'.
السؤال: ما الذي يدل عليه ارتباط كلمة 'عري' بالثقافة المحلية؟
الخيارات:
أ) دلالة عن الحشمة
ب) تعبير عن القوة والشجاعة
ج) ربط مع الحيوانات الأليفة
د) ربط مع التقاليد الإجتماعية",ب
عزبة,يعشقها هواة البر. والعزبة صندوق أو شنطة يحتوي على أدوات من المطبخ. ووجود القهوة والشاي شيء مهم.,General,"المهمة: ما هو التفسير الثقافي لكلمة 'عزبة' في المجتمع السعودي؟
السؤال: كيف تُعتبر العزبة في الثقافة السعودية؟
الخيارات:
أ) مجرد أداة للطبخ
ب) رمز للترفيه والتجمعات
ج) تستخدم للزراعة
د) لا تعني شيئًا خاصًا",ب
عزومة,هذه الكلمة المعروفة لكن عوضاً عن قول عزيمة نقول عزومة,Western,"المهمة: اشرح الدور الثقافي لكلمة 'عزومة' في المجتمع السعودي.
السؤال: ما هو الدور الثقافي لكلمة 'عزومة' في المجتمع السعودي؟
الخيارات:
أ) تعبير عن الود والصلة بين الأهل والأصدقاء
ب) مجرد كلمة عابرة
ج) تستخدم في المجالس الرسمية فقط
د) غير مستخدمة",أ
عسكريم,"عسكريم كلمة تستخدم كفكاهة او بديل لكلمة ""آيس كريم"".",General,"المهمة: حدد السياق الثقافي لكلمة 'عسكريم'.
السؤال: لماذا تعتبر 'عسكريم' محبوبه في الثقافة السعودية؟
الخيارات:
أ) لأن الجو دائماً يميل للحار
ب) لأنها مصنوعة في المنازل
ج) لأنها لا يحتاجها أحد
د) لأنها باهظة الثمن",أ
عصلا,تطلق ع الششخصه النحييفه الي مره جلد على عظم,Central,"المهمة: حدد صحة الفهم الثقافي لكلمة 'عصلا'.
السؤال: ما الذي تعكسه كلمة 'عصلا' عن الثقافة النجدية؟
الخيارات:
أ) تقدير القوة البدنية
ب) التركيز على الجمال
ج) المبالغة في الصفات الشخصية
د) ليس لها دلالات ثقافية",أ
عطشان,هل انت عطشان يا اخي ؟ عطشان يا اخي ؟ عطشان حبيبي ؟,General,"المهمة: فكر في المعنى الثقافي للكلمة.
السؤال: ماذا تعني كلمة 'عطشان' في الثقافة السعودية؟
الخيارات:
أ) جائع
ب) بحاجة إلى النوم
ج) يحتاج للماء
د) يريد التحدث",ج
عطن,عطن : عطني و هي بالاصل ( عطني ) و لكن حذفت النون للتخفيف,Central,"المهمة: فكر في السياق الثقافي للكلمة 'عطن'.
السؤال: ما الذي يميز استخدام الكلمة 'عطن' في اللهجة النجدية؟
الخيارات:
أ) تستخدم في التحية
ب) تعكس اللهجة المحكية بطريقة غير رسمية
ج) تعني الاستغفار
د) تعبر عن الشك",ب
