Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
صديق,هي عبارة نداء للعمال والموظفين القادمين من دول آسيوية غير عربية,General,"المهمة: اقرأ العبارة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: العبارة 'صديق' تستخدم في الإشارة إلى العمال القادمين من دول عربية.
الخيارات:
أ) صحيح
ب) خطأ",ب
صياحك طرب,عندما تريد إظهار اللامبالاة بالإساءة الموجه لك,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'صياحك طرب' تعني أنك تشعر بالفرح.
الخيارات:
أ) صحيح
ب) خطأ",ب
ضاق الصدر,حزن,General,"المهمة: تحديد صحة العبارة
السؤال: عبارة 'ضاق الصدر' تعني شعور الضيق والراحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
ضريب إرتتس,ضريب = أسم شخص شعبي . ولا أظن أنه هناك احدن أسمهو ضريب إرتتس = بمعنى إرتك أو جب مركا وارتك ومعناها أستريح بس .,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: كلمة 'ضريب' تعني 'الراحة' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
ضعوي,تعني الخرطي وهو انه كذاب نصاب,General,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'ضعوي' تدل على شخص صادق وموثوق.
الخيارات:
أ) صحيح
ب) خطأ",ب
طار بالعجة,عندما يندفع شخص لفعل شيء متأثرا من شيء سواء كان كلاما أو فعلا من شخص آخر,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'طار بالعجة' تعني التردد في اتخاذ القرار.
الخيارات:
أ) صحيح
ب) خطأ",ب
اتوطى في بطنك,اتوطى في بطنك: معناها انن سوف يضربه بقوة,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: جملة 'اتوطى في بطنك' تعني أن الشخص سيعانق الآخر.
الخيارات:
أ) صح
ب) خطأ",ب
يباري الساس,يمشي بمحاذاة الجدار - يدور الظلال أو يتغبى عن أحد.,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة «يباري الساس» تُستخدم لوصف شخص يواجه الناس مباشرة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
طراش,القي,General,"المهمة: حدد إذا كانت العبارة الصحيحة أو خاطئة.
السؤال: العبارة 'طراش' تعني 'استقبال'؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
اترك الهِياط,تُقال لمن يبالغ في ادعاءاته أو يتصنع القوة.,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُقال عبارة (اترك الهِياط) لمن يبالغ ويتصنع القوة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
عافية ربي,هي عبارة دعوة بالعافية من رب العالمين في الحجاز تقال هذه العبارة للاطفال عند النوم ولكن بطريقة مخيفة قليلا وكانها دعوة لشبح مافيخاف الاطفال وينامون بسرعة ولكن عندما يكبر الطفل يعرف معنى هذه العبارة ويبدأ بلوم امه والضحك على هذه العبارة,Western,"### 2. نوع السؤال: صحيح/خطأ
- المهمة: اختر ما إذا كانت العبارة صحيحة أم خاطئة.
- السؤال: تُستخدم عبارة ""عافية ربي"" عند النوم في الحجاز بطريقة مرعبة للأطفال.
- الخيارات:
 A) صحيح 
 B) خطأ 
-",A
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'عاقد النونه' تعني الشخص الذي يُظهر الفرح.
الخيارات:
أ) صحيح
ب) خطأ",ب
هب لي,اعطني,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (هب لي) تعني امنعني من الشيء.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عداك العيب,في حالتك إعجابك بفعل أو كلام شخصاُ ما,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: التعبير 'عداك العيب' يستخدم للإشارة إلى عدم الإعجاب.
الخيارات:
أ) صحيح
ب) خطأ",ب
عدك عليه,اذا كنت معصب على مديرك وتبى تفش غلك وبدون مايعرف وش معناه قله عدك عليه طال عمرك,Central,"المهمة: قم بتحديد صحة العبارة التالية.
السؤال: العبارة 'عدك عليه' تستخدم عندما تشعر بالارتياح تجاه شخص ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
أبو خمسة,يستخدم للشخص الشره اللذي يأكل بيده.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: تستخدم كلمة 'أبو خمسة' للإشارة إلى الشخص البخيل.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عساك سالم,"تأتي بشكل عامي بمعنى ""استريح""",General,"### نوع السؤال: صحيح/خطأ
Task: Choose only one answer without any additional notes. 
Question: العبارة ""عساك سالم"" تعني ""استرخي"". 
Options: 
A) صحيح 
B) خطأ 
Correct answer: A 
Explanation: العبارة تعني ""استريح""، مما يجعل الخيار صحيحاً.",
عساك طيب,عندما تسأل شخص : كيف حالك؟ في السعودية يستبدلوها في الغالب بلهجة السؤال: عساك طيب؟,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'عساك طيب' تستخدم عادة للتعبير عن الشوق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عسى مالك,ماذا طرأ لك أيضا مالك يا أخي,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'عسى مالك' تستخدم في تهامة فقط.
الخيارات:
أ) صحيح
ب) خطأ",ب
عضّ الأرض,عباره مسكته أو رادعه لشخص أحلامه كبيره ومستحيله,Central,"المهمة: حدد صحة العبارة.
السؤال: عبارة 'عضّ الأرض' تدل على تشجيع الشخص على تحقيق أحلامه.
الخيارات:
أ) صحيح
ب) خطأ",ب
عض على شحمه,تقال عندما يقوم الشخص بالتحدث عن موضوع لا يفقه فيه شيء أو عندما يتحدث في وقت غير مناسب وكذلك عندما يتخاصم شخصان فيقول أحدهما ( ورى ماتعض على شحمه ؟ ),Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'عض على شحمه' تستخدم عندما يتحدث الشخص في موضوع يعرفه جيدًا.
الخيارات:
أ) صحيح
ب) خطأ",ب
أدّيلو علقة, يعني أضربو اوعاقبه,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (أدّيلو علقة) للتعبير عن المدح والتشجيع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
بس داويه,بس بلا ازعاج,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (بس داويه) تُقال لطلب الهدوء وعدم الإزعاج.
الخيارات:
أ) صحيح
ب) خاطئ",أ
علة باطنية,تنطق عادة بالتنوين (علتن باطنية) تقال للشخص الثقيل جدا والمزعج. صعب المراس الذي دائما يعترض ولا يتقبل أي شيء.,Central,"المهمة: حدد صحة العبارة التالية.
السؤال: يستخدم مصطلح 'علة باطنية' لوصف شخص لطيف ومحبوب.
الخيارات:
أ) صحيح
ب) خطأ",ب
على اسرك,(عند أهل السراة): على اسرك: تنطق عَلَسْرِِكْ: تخفيف من اللغة الفصيحة على رِسْلِكْ، وهي بمعنى على مهلك، لا تتعجل. مرادفات: على هونك.,Southern,"المهمة: حدد إذا كانت الجملة صحيحة أم خاطئة.
السؤال: عبارة 'على اسرك' تشير إلى التسريع في إنجاز الأمور.
الخيارات:
أ) صحيح
ب) خطأ",ب
على راسك ريش,يقال بدلا من (لا، لا يمكنك فعل ذلك) و هو من الإستنكار و أحيانا السخرية و هو دائما استفهام.,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'على راسك ريش' تُستخدم للدلالة على الاستياء والسخرية.
الخيارات:
أ) صحيح
ب) خطأ",أ
على شحم,بمعنى اسكت او نقطنا بسكاتك,Central,"المهمة: اقرأ العبارة ثم حدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'على شحم' تعني 'تحدث بحرية'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تراني طفران,بمعنى انا مفلس ماعندي فلوس ,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""تراني طفران"" تُقال للتعبير عن الفرح بالمكافأة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
على لبن ملموذه,تستخدم عندما نريد أن نقول أن شخصين على خلاف مع بعضهما البعض، وأن العلاقة بينهما ليس جيده أبداً.,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'على لبن ملموذه' تُستخدم للإشارة إلى علاقة جيدة بين شخصين.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
على مثل راس القوطي,تقال عند سب وشتم رجل قدره لا يصل ان يقدم له قطعه كبيره  بل قطعه صغيره بحجم غطاء قارورة الماء,General,"المهمة: قرر ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'على مثل راس القوطي' تعني أنها تعبر عن العظمة والقوة.
الخيارات:
أ) صحيح
ب) خطأ",ب
اشرب بشويش,معناها اشرب ببطئ,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: عبارة ""اشرب بشويش"" تُقال عند الخوف على الشخص من التسرع في الشرب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
علي بالملازيم!,أسلوب نذر. وتعني أنني سأقوم بالواجب وحق الضيافة، ولن يذهب الضيف الا وهو مكرم.,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: العبارة 'علي بالملازيم!' تعني أن الضيف سيترك المأكولات في المنزل.
الخيارات:
أ) صحيح
ب) خطأ",ب
علي ما علي,علي ما علي بلهجة أهل تبوك، تظهر عندما يغضب الشخص ويستنكر أمراً ما ومن ثم يبدأ يتوعد وينذر أنه لو حدث شيء كهذا تالله لن تمر بسلام!,Northern,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'علي ما علي' تُستخدم عندما يكون الشخص في حالة هدوء.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عمر عامر مات ي بطل,وتنقال للي يسوي قوي المقصود فيها عمر عامر القرشي رحمه الله راقص المزمار المشهور,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة مع تقديم التفسير.
السؤال: عبارة 'عمر عامر مات ي بطل' تشير إلى شخص غير مشهور.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عنز ولو طارت,إذا أصر أحدهم وتمسك برأيه حتى ولو كان أمراً مستحيلاً لايمكن وقوعه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'عنز ولو طارت' تعني الاستسلام أمام الصعوبات.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عنك او عن رجآل.؟,عبارة بدوية قديمة، تعني، هل أنت كفؤ لهذه المهمة، أما هنالك من أكفأ منك؟ ويكون الرد بهذه الطريقة (عني وانا رجآل) وتعني أنا لها وأنا رجل.,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خطأ.
السؤال: عبارة 'عنك او عن رجآل.؟' تستخدم للتساؤل عن صبر الشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
عود جاي,هي كلمة عربية في معناها فكلمة عود موجودة في لسان الصحاح بعاد إِليه يَعُودُ عَوْدَةً وعَوْداً: رجع اي بمعنى رجع إليه ومعنى جاي مأخوذة من مجيئ اي جاء إلي ومعنى عود جاي : اي ارجع إلي هذه الكلمة موجودة عند عوام القبائل السعودية وخاصة النجدية وهي كلمة قد اندثرت في وقتنا الحاضر,Central,"المهمة: تقييم صحة العبارة التالية.
السؤال: عبارة 'عود جاي' تعني 'اذهب بعيدًا'.
الخيارات:
أ) صحيح
ب) خطأ",ب
حست مريري,حست تسبدي: أي عكرت مزاجي .,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة «حسّت مريري» تُقال للتعبير عن الراحة النفسية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إيش فيك مِتْنَح؟,تُقال للشخص الذي لا يستوعب الكلام أو يتظاهر بعدم الفهم.,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة «إيش فيك متنح؟» عند مدح شخص على سرعة فهمه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
عيشة ولد,تطلق تلعب الفتاة التي تلعب مع الصبيان,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'عيشة ولد' تعني أن الفتاة تلعب مع الأولاد.
الخيارات:
أ) صحيح
ب) خطأ",أ
غاسل يدي منو,تستخدم هذي العبارة لي تعبر عن شخص أو فعل عمله شخص قد خيب أملك,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'غاسل يدي منو' تستخدم للتعبير عن الشكر لشخص ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
لا تِسوي فيها,"عبارة شهيرة بمعنى ""لا تتصنع"" أو لا تدعي صفة ليست فيك (هياط حجازي).",Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة «لا تسوي فيها» لتشجيع الشخص على الاستمرار في التواضع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
غسل شراع,غسل شراع: تعني أن شخصاً لقن الآخر درساً قاسياً بطريقة تعنفية أو بالضرب أو بالكلام. طالع نسف جبهه,General,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'غسل شراع' تعني تقديم مساعدة فعلية لشخص ما.
الخيارات:
أ) صحيح
ب) خطأ",ب
فاصخ عقله,تقال للانسان الذي يفعل الاشياء بدون استخدام عقله و تكون تصرفاته اقرب للمجنون منه للعاقل.,General,"المهمة: تحديد صواب أو خطأ العبارة التالية:
السؤال: تستخدم عبارة 'فاصخ عقله' لوصف شخص يتصرف بعقلانية.
الخيارات:
أ) صحيح
ب) خطأ",ب
فاهمني والله العظيم,عندما اتحدث عن موضوع ما مع شخص اخر، ولاحظة الشخص يفهم على حديثي ، في هذه الحظه اقول له (فاهمني والله العظيم),Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'فاهمني والله العظيم' تعني أن الشخص يشعر بالإحباط لأن الآخر لا يستمع له.
الخيارات:
أ) صحيح
ب) خطأ",ب
سيبك منو,سيبك : اتركه منو : هو,Western,"المهمة: قم بتحديد صحة العبارة التالية.
السؤال: العبارة 'سيبك منو' تعني اتركه هو.
الخيارات:
أ) صحيح
ب) خطأ",أ
فعشني,"من ""الفعش"" وهو ""شد الشعر"" بعنف",Central,"المهمة: تحديد صحة العبارة.
السؤال: العبارة: 'فعشني' تعني 'أحبني'.
الخيارات:
أ) صحيح
ب) خطأ",ب
فقع,هرب من شيء يتعبه,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'فقع' تعني التوجه إلى العمل.
الخيارات:
أ) صحيح
ب) خطأ",ب
اقظب الوطا,اقظب الارض,Northern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (اقظب الوطا) تُستخدم بمعنى اترك الأرض.
الخيارات:
أ) صحيح
ب) خاطئ",ب
دز امها,تأتي بمعنى اغرب عن وجهي < اهم شي,Western,"المهمة: اختر الإجابة الصحيحة فقط بدون ملاحظات إضافية. 
السؤال: تعني كلمة ""دز امها"" في اللهجة السعودية ""اقرب إلي"" 
الخيارات: 
A) صحيح 
B) خطأ",B
في الخيشة,هي عبارة تدل على أن الشخص لا يعلم ما يدور حوله من أحداث,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: عبارة ""في الخيشة"" تعني أن الشخص على دراية بالأحداث من حوله. 
الخيارات: 
A) صحيح 
B) خطأ - لأن العبارة تدل على عدم علم الشخص بما يدور من أحداث.",B
في خشمك عرام,اي في انفك تبن لكي تحكه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'في خشمك عرام' تعني أن هناك شيء في أنفك.
الخيارات:
أ) صحيح
ب) خطأ",أ
في ذاك,أي بمعنى هناك,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'في ذاك' تعني 'أي بمعنى هناك'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
يا مال العافية,دعاء بالصحة الجيدة.,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُقال عبارة (يا مال العافية) بقصد الدعاء بالصحة الجيدة.
الخيارات:
أ) صحيح
ب) خاطئ",أ
فين أصرفها ؟,"غالبا تستخدم بمعنى ""عذرك غير مقبول"" . وتستخدم أحيانا كتبيين للطرف الآخر في الحوار أنك لا تصدق كلامه .",Western,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعبير 'فين أصرفها ؟' يستخدم عادةً لتعبير عن الاستغراب.
الخيارات:
أ) صحيح
ب) خاطئ",ب
قاعد يمشي,يظن البعض عند سماع هذه العبارة أن المتحدث يحاول إلقاء دعابة أو أنه في ليس في كامل قواه العقلية حيث أنه من المستحيل على قيام نشاطين مختلفين في الاتجاه في نفس الوقت. ولكن المعنى أنه يقوم بعملية المشي.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'قاعد يمشي' تعني أن الشخص يحاول إلقاء دعابة.
الخيارات:
أ) صحيح
ب) خطأ",ب
قافلة معي,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'قافلة معي' تعني الفرحة والسعادة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
إنتخشوا عينك,دعاء على الشخص بأن يقتلع الجن عينه أعاذنا الله وإياكم يستخدم هذا المصطلح غالبا في المنطقة الجنوبية من السعودية,Southern,"المهمة: حدد صحة الجملة التالية.
السؤال: عبارة 'إنتخشوا عينك' تُستخدم كدعاء بالخير.
الخيارات:
أ) صحيح
ب) خطأ",ب
قصعة تشيلك,فصعة تشيلك : تمني الحظ السيء أن يصيبك أو ان ينتهي ماتتمناه بالفشل. وتقال رداً على الرفض وعند القهر.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'قصعة تشيلك' تعبر عن الأمنيات الطيبة. صح أم خطأ؟
الخيارات:
أ) صح
ب) خطأ",ب
قطعي شطاياه بالمطرق,تعني ايتها الأم اضربي ابنك بالعصا على مؤخرته (اردافه) بالعصا (الخيزران) كعقاب له لتأديبه و هي نصيحة متداولة بين الامهات التحديات في السعودية,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'قطعي شطاياه بالمطرق' تدل على تأديب الطفل بالعصا.
الخيارات:
أ) صحيح
ب) غير صحيح",أ
قعيطي,الشخص البخيل,Central,"المهمة: تحديد صحة العبارة حول كلمة 'قعيطي'.
السؤال: عبارة 'قعيطي' تشير إلى الشخص السخي.
الخيارات:
أ) صحيح
ب) خطأ",ب
قل تم,وافق على ماطلبت! ويرد الموافق على الطلب بتم اي تم مطلبك ووصلت لغايتك,General,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: العبارة ""قل تم"" تُستخدم في السياقات غير الرسمية عادة. 
الخيارات: 
أ) صحيح 
ب) خطأ 
شرح للإجابة الغير صحيحة: العبارة تُستخدم بشكل شائع في السياقات غير الرسمية.",أ
قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!,تصريفة لتصريف الشخص منك وتقال عندما تكون في جو مباراة كرة القدم ويحاول احدهم ان يأخذ محلك!,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: التعبير 'قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!' يستخدم للدلالة على التعاون والتضامن في حالة هزيمة فريق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
قلعة وادرين,أي قي مكان بعيد جدا,Northern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'قلعة وادرين' تعني مكان قريب جدا.
الخيارات:
أ) صحيح
ب) خطأ",ب
قليل الخاتمة,صفة يتصف بها الوقح الحقير.,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'قليل الخاتمة' تعني شخصاً مهذباً ولطيفاً.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يبرز به,يقوله له كلام خاص او سر,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (يبرز به) تعني نشر الكلام أمام الجميع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
كاسر اللمبة,هي صفة تطلق على الشخص الضايع الذي لا يهتم للعواقب.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'كاسر اللمبة' تعني شخصاً منظماً وذو اهتمام بالتفاصيل.
الخيارات:
أ) صحيح
ب) خطأ",ب
كان بمسمع منك,هذا التعبير يستخدم اذا كان الرجل قريبا ويسع له السماعة بالسهولة,Western,"المهمة: تحديد صحة العبارة المراد تقييمها.
السؤال: عبارة 'كان بمسمع منك' تشير إلى أن الشخص بعيد عن المتحدث.
الخيارات:
أ) صحيح
ب) خطأ",ب
كاي,تعني شيئ مضحك، و قد تستخدم كصفة أيضا.,Western,"المهمة: حدد صحة العبارة المتعلقة بكلمة 'كاي'.
السؤال: كلمة 'كاي' تعني شيئاً مضحكاً وتستخدم كصفة أيضاً.
الخيارات:
أ) صحيح
ب) خطأ",أ
كبر البعير,بمعنى كبير الحجم,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'كبر البعير' تعني حجمه صغير.
الخيارات:
أ) صحيح
ب) خاطئ",ب
كبر المخدة,اي انه يجهز في النوم و فإنة يغط في سبات عمييق,Western,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
- السؤال: عبارة ""كبر المخدة"" تعني أن الشخص يُفضل البقاء مستيقظًا طوال الليل. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
-) خطأ (العبارة تعني أن الشخص ينام نوماً عميقاً)",B
كبس,بمعني راح تاكل تراب,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة التالية صحيحة: 'كبس يعني دور عليه'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
كبيت العشا,عندما تتحدث بأمر من المفترض أن لا تتحدث عنه . أي أنك أفشيت سراً من غير قصد فكبيت العشا.,General,"المهمة: حدد ما إذا كانت الجملة صحيحة أم خاطئة.
السؤال: جملة 'كبيت العشا' تعني أنك تحدثت عن شيء لا يحق لك التحدث عنه.
الخيارات:
أ) صحيح
ب) خطأ",أ
في قلب العدو,تقال عند ذكر أمر سيء,Western,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُقال عبارة (في قلب العدو) عند ذكر أمر مكروه أو سيّئ.
الخيارات:
أ) صحيح
ب) خاطئ",أ
كريم عين,وصف مؤدب للشخص الأعور (الذي فقد إحدى عينيه),Central,"المهمة: قم بتحديد صحة العبارة التالية.
السؤال: عبارة 'كريم عين' تعني شخص يتمتع بجمال العين.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
كسر عين,كسر عين: عبارة مهينة تستخدم للحط من قدر شخصاً ما. ,Central,"المهمة: اقرأ العبارة وحدد إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'كسر عين' تُستخدم عادة للتعبير عن الإعجاب.
الخيارات:
أ) صحيح
ب) خطأ",ب
كفو/ قدر,كفو/ قدر= تعني حجم الشخص ومقداره الأجتماعي، وتشبيه بالأشياء. وبالمثال يتضح المقال، طالع الأمثلة.,Central,"المهمة: تقييم صحة العبارة التالية.
السؤال: عبارة 'كفو/ قدر' تستخدم لوصف الأشياء فقط، وليس الأشخاص.
الخيارات:
أ) صحيح
ب) خطأ",ب
كل تبن,تعني أسكت ولا تتكلم . والتبن هو الشسمه,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'كل تبن' تعني امضِ قدمًا وابدأ الحديث.
الخيارات:
أ) صحيح
ب) خطأ",ب
كل واحد يصلح سيارته,كل شخص يتنازل عن حقه ( سواء مشكلة أو خلاف ),General,"المهمة: حدد صحة العبارة التالية.
السؤال: العبارة 'كل واحد يصلح سيارته' تشير إلى أن كل شخص يجب أن يهتم بمشاكله الشخصية.
الخيارات:
أ) صح
ب) خطأ",أ
أوَّل أمس,كلمة قطيفية، وتعني اليوم الذي يسبِقُ الأمسَ,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أوَّل أمس' تعني اليوم الذي يسبق الأمس.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: احرص على تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'كلجة' تعني 'كلام مكسر' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خاطئ",أ
كلما طقيتها صارت عوجاء,تعني أن المشكلات تواجه كلما حاول التقدم أوإصابة الهدف فيتراجع إلى الوراء رغم المحاولة في التقدم أو أصابة الهدف فلابد من الميل عنه,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: 'العبارة تعني أن المشكلات تزداد مع كل محاولة للتقدم.'
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة:",
كن أبوك,تهديد بأن لا يفعل أمر ما ( بمعنى يا ويلك ),Central,"المهمة: قرر ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'كن أبوك' تعني القيام بفعل ما.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وش حيثوه,للهجة أهل القصيم تعني  لماذا هو فقط,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (وش حيثوه) للسؤال عن سبب تخصيص شخص دون غيره.
الخيارات:
أ) صحيح
ب) خاطئ",أ
كيف اقول بي,ماذا اصنع بعمري,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'كيف اقول بي' تعني 'كيف أتحدث مع الناس'.
الخيارات:
أ) صحيح
ب) خطأ",ب
لا تحرق رُزك,وتعني اي لا تغضب عند انتظار الشيء,General,"المهمة: اختر ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'لا تحرق رُزك' تعني عدم التوتر عند الانتظار.
الخيارات:
أ) صحيح
ب) خطأ",أ
