Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
عسى مالك,ماذا طرأ لك أيضا مالك يا أخي,Western,"المهمة: حدد معنى العبارة 'عسى مالك'.
السؤال: ماذا تعني عبارة 'عسى مالك'؟
الخيارات:
أ) ماذا طرأ لك أيضا مالك يا أخي
ب) كيف حالك اليوم
ج) أين كنت البارحة
د) ما هو اسم والدك",أ
عضّ الأرض,عباره مسكته أو رادعه لشخص أحلامه كبيره ومستحيله,Central,"المهمة: اختر المعنى الصحيح لعبارة 'عضّ الأرض'.
السؤال: ما هو المعنى الصحيح لعبارة 'عضّ الأرض'؟
الخيارات:
أ) استسلام الشخص لأمرهم
ب) إضافة الجدية للأحلام
ج) مسك أو ردع شخص لأحلامه الكبيرة والمستحيلة
د) القيام بشيء غير ممكن",ج
عض على شحمه,تقال عندما يقوم الشخص بالتحدث عن موضوع لا يفقه فيه شيء أو عندما يتحدث في وقت غير مناسب وكذلك عندما يتخاصم شخصان فيقول أحدهما ( ورى ماتعض على شحمه ؟ ),Central,"المهمة: اختر المعنى الصحيح لعبارة 'عض على شحمه'.
السؤال: ما هو المعنى المقصود من عبارة 'عض على شحمه'؟
الخيارات:
أ) التحدث في موضوع يعرفه الشخص جيداً
ب) التحدث في موضوع لا يفقه فيه الشخص شيئاً
ج) الاستماع لحديث الآخرين
د) الابتعاد عن المشكلات",ب
أدّيلو علقة, يعني أضربو اوعاقبه,Western,"المهمة: حدد المعنى الصحيح لعبارة (أدّيلو علقة).
السؤال: ما المقصود بعبارة (أدّيلو علقة)؟
الخيارات:
أ) أكافئه
ب) أضربه أو أعاقبه
ج) أساعده
د) أعتذر له",ب
بس داويه,بس بلا ازعاج,Southern,"المهمة: حدد المعنى الصحيح لعبارة (بس داويه).
السؤال: ما المقصود من عبارة (بس داويه)؟
الخيارات:
أ) بس بسرعة
ب) بس بلا إزعاج
ج) بس بصوت عالٍ
د) بس مع ضوضاء",ب
علة باطنية,تنطق عادة بالتنوين (علتن باطنية) تقال للشخص الثقيل جدا والمزعج. صعب المراس الذي دائما يعترض ولا يتقبل أي شيء.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'علة باطنية'.
السؤال: ما هو المعنى الدقيق لعبارة 'علة باطنية'؟
الخيارات:
أ) شخص ثقيل ومزعج
ب) شخص لطيف ومحبوب
ج) شخص اجتماعي
د) شخص كتابي",أ
على اسرك,(عند أهل السراة): على اسرك: تنطق عَلَسْرِِكْ: تخفيف من اللغة الفصيحة على رِسْلِكْ، وهي بمعنى على مهلك، لا تتعجل. مرادفات: على هونك.,Southern,"المهمة: حدد المعنى الصحيح للعبارة 'على اسرك'.
السؤال: ما معنى عبارة 'على اسرك' في اللهجة السعودية؟
الخيارات:
أ) تسريع الأمور
ب) على مهلك
ج) الانتظار طويلاً
د) الإهمال",ب
على راسك ريش,يقال بدلا من (لا، لا يمكنك فعل ذلك) و هو من الإستنكار و أحيانا السخرية و هو دائما استفهام.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'على راسك ريش'.
السؤال: ما هو المعنى الصحيح لعبارة 'على راسك ريش'؟
الخيارات:
أ) تعبير عن القبول
ب) تعبير عن السخرية
ج) تعبير عن التهكم
د) تعبير عن الحزن",ب
على شحم,بمعنى اسكت او نقطنا بسكاتك,Central,"المهمة: اختر المعنى الصحيح للتعبير 'على شحم'.
السؤال: ما هو المعنى الصحيح للتعبير 'على شحم'؟
الخيارات:
أ) بمعنى اسكت او نقطنا بسكاتك
ب) بمعنى أسرع في الكلام
ج) بمعنى انشد عن شيء
د) بمعنى استمتع بالحديث",أ
تراني طفران,بمعنى انا مفلس ماعندي فلوس ,General,"المهمة: اختر المعنى الصحيح لعبارة 'تراني طفران'.
السؤال: ماذا تعني عبارة ""تراني طفران""؟
الخيارات:
أ) أنا مشغول
ب) أنا غني جدًا
ج) أنا مفلس وما عندي فلوس
د) أنا جديد في المكان",ج
على لبن ملموذه,تستخدم عندما نريد أن نقول أن شخصين على خلاف مع بعضهما البعض، وأن العلاقة بينهما ليس جيده أبداً.,General,"المهمة: حدد المعنى الصحيح لعبارة 'على لبن ملموذه'.
السؤال: ماذا تعني عبارة 'على لبن ملموذه'؟
الخيارات:
أ) التواصل الجيد
ب) وفاق بين الأصدقاء
ج) خلاف بين شخصين
د) فهم مشترك",ج
على مثل راس القوطي,تقال عند سب وشتم رجل قدره لا يصل ان يقدم له قطعه كبيره  بل قطعه صغيره بحجم غطاء قارورة الماء,General,"المهمة: حدد المعنى الصحيح للعبارة 'على مثل راس القوطي'.
السؤال: ما معنى العبارة 'على مثل راس القوطي'؟
الخيارات:
أ) تعبير عن الكرم الزائد
ب) تعبير عن قلة القيمة
ج) تعبير عن الذكاء
د) تعبير عن القوة البدنية",ب
اشرب بشويش,معناها اشرب ببطئ,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ماذا تعني عبارة ""اشرب بشويش""؟
الخيارات:
أ) لا تشرب نهائيًا
ب) اشرب بسرعة
ج) اشرب ببطء وهدوء
د) اشرب كثيرًا",ج
علي بالملازيم!,أسلوب نذر. وتعني أنني سأقوم بالواجب وحق الضيافة، ولن يذهب الضيف الا وهو مكرم.,General,"المهمة: حدد المعنى الصحيح للعبارة 'علي بالملازيم!'
السؤال: ماذا تعني العبارة 'علي بالملازيم!'؟
الخيارات:
أ) تعني أنني أقوم بخدمة الضيوف
ب) تعني أنني أعتذر عن عدم الاستقبال
ج) تعني أنني مشغول الآن
د) تعني أنني سآخذ إجازة",أ
علي ما علي,علي ما علي بلهجة أهل تبوك، تظهر عندما يغضب الشخص ويستنكر أمراً ما ومن ثم يبدأ يتوعد وينذر أنه لو حدث شيء كهذا تالله لن تمر بسلام!,Northern,"المهمة: حدد المعنى الصحيح للتعبير 'علي ما علي' باللهجة السعودية.
السؤال: ماذا يعني التعبير 'علي ما علي' باللهجة السعودية؟
الخيارات:
أ) تظهر حالة الفرح والسرور
ب) تعبر عن الغضب والتهديد
ج) تشير إلى الاستسلام
د) تعني الترحيب بالزوار",ب
عمر عامر مات ي بطل,وتنقال للي يسوي قوي المقصود فيها عمر عامر القرشي رحمه الله راقص المزمار المشهور,Central,"المهمة: حدد المعنى الصحيح لعبارة 'عمر عامر مات ي بطل'.
السؤال: ما المقصود بعبارة 'عمر عامر مات ي بطل'؟
الخيارات:
أ) تعني أن عمر عامر قوي جداً
ب) تشير إلى وفاة شخص معروف
ج) تعني الرقص بشكل جيد
د) تشير إلى حادثة جديدة",ب
عنز ولو طارت,إذا أصر أحدهم وتمسك برأيه حتى ولو كان أمراً مستحيلاً لايمكن وقوعه,Central,"المهمة: حدد المعنى الصحيح لعبارة 'عنز ولو طارت'.
السؤال: ما معنى عبارة 'عنز ولو طارت'؟
الخيارات:
أ) استسلام الشخص لرأيه
ب) الإصرار على الرأي حتى لو كان مستحيلاً
ج) القبول بالواقع
د) التردد في اتخاذ القرار",ب
عنك او عن رجآل.؟,عبارة بدوية قديمة، تعني، هل أنت كفؤ لهذه المهمة، أما هنالك من أكفأ منك؟ ويكون الرد بهذه الطريقة (عني وانا رجآل) وتعني أنا لها وأنا رجل.,Central,"المهمة: حدد المعنى المناسب لعبارة 'عنك او عن رجآل.؟'.
السؤال: ماذا تعني عبارة 'عنك او عن رجآل.؟'؟
الخيارات:
أ) هل أنت كفؤ لهذه المهمة؟
ب) أين تسكن؟
ج) هل تحب الطعام؟
د) ما هي هواياتك؟",أ
عود جاي,هي كلمة عربية في معناها فكلمة عود موجودة في لسان الصحاح بعاد إِليه يَعُودُ عَوْدَةً وعَوْداً: رجع اي بمعنى رجع إليه ومعنى جاي مأخوذة من مجيئ اي جاء إلي ومعنى عود جاي : اي ارجع إلي هذه الكلمة موجودة عند عوام القبائل السعودية وخاصة النجدية وهي كلمة قد اندثرت في وقتنا الحاضر,Central,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة فقط.
- السؤال: ما معنى عبارة ""عود جاي"" في السياق العام للسعودية؟
- الخيارات:
 A) اذهب بعيداً 
 B) عد إلى هنا 
 C) ابدأ العمل 
 D) توقف عن الحديث 
-",B
حست مريري,حست تسبدي: أي عكرت مزاجي .,Central,"المهمة: حدد المعنى الأدق لعبارة «حسّت مريري».
السؤال: ما المعنى الأقرب لعبارة «حسّت مريري» أو «حسّت تسبدي»؟
الخيارات:
أ) أسعدني كثيرًا
ب) أزعجني وعكّر مزاجي
ج) فاجأني بشيء جميل
د) جعلني أضحك",ب
إيش فيك مِتْنَح؟,تُقال للشخص الذي لا يستوعب الكلام أو يتظاهر بعدم الفهم.,Western,"المهمة: حدد المعنى الأدق لعبارة «إيش فيك متنح؟».
السؤال: ما المعنى الأقرب لهذه العبارة في اللهجة السعودية؟
الخيارات:
أ) لماذا أنت ذكي جدًا؟
ب) لماذا لا تفهم أو تتجاهل الكلام؟
ج) لماذا أنت متحمس؟
د) لماذا أنت مسرور؟",ب
عيشة ولد,تطلق تلعب الفتاة التي تلعب مع الصبيان,Western,"المهمة: اختر المعنى الصحيح لعبارة 'عيشة ولد'.
السؤال: ما هو المعنى الصحيح لعبارة 'عيشة ولد'؟
الخيارات:
أ) تلعب الفتاة التي تلعب مع الصبيان
ب) فتاة تحب القراءة
ج) فتاة تعمل في المدرسة
د) فتاة تتحدث بالهاتف",أ
غاسل يدي منو,تستخدم هذي العبارة لي تعبر عن شخص أو فعل عمله شخص قد خيب أملك,Western,"المهمة: حدد المعنى الصحيح لعبارة 'غاسل يدي منو'.
السؤال: ماذا تعني عبارة 'غاسل يدي منو'؟
الخيارات:
أ) تعني أن الشخص عائد إلى الحي القديم
ب) تعني أن الشخص خاب أمله من فعل شخص ما
ج) تعني أن الشخص يقوم بتنظيف يديه
د) تعني أن الشخص يشعر بالسعادة",ب
لا تِسوي فيها,"عبارة شهيرة بمعنى ""لا تتصنع"" أو لا تدعي صفة ليست فيك (هياط حجازي).",Western,"المهمة: حدد المعنى الأدق لعبارة «لا تسوي فيها».
السؤال: ما المعنى الأقرب لعبارة «لا تسوي فيها» في اللهجة الحجازية؟
الخيارات:
أ) لا تبالغ ولا تتصنّع
ب) استمر في تصرّفك
ج) كن واثقًا بنفسك
د) لا تتدخل في الأمور",أ
غسل شراع,غسل شراع: تعني أن شخصاً لقن الآخر درساً قاسياً بطريقة تعنفية أو بالضرب أو بالكلام. طالع نسف جبهه,General,"المهمة: حدد المعنى الصحيح لعبارة 'غسل شراع'.
السؤال: ماذا تعني عبارة 'غسل شراع'؟
الخيارات:
أ) تنظيف القماش
ب) إعطاء درس قاسٍ
ج) تحضير الطعام
د) إصلاح السيارة",ب
فاصخ عقله,تقال للانسان الذي يفعل الاشياء بدون استخدام عقله و تكون تصرفاته اقرب للمجنون منه للعاقل.,General,"المهمة: حدد معنى عبارة 'فاصخ عقله'.
السؤال: ما هو المعنى الأقرب لعبارة 'فاصخ عقله'؟
الخيارات:
أ) إنسان يستخدم عقله بشكل جيد
ب) إنسان يتجاهل العقل في تصرفاته
ج) إنسان يحلل الأمور بعناية
د) إنسان يتعلم بسرعة",ب
فاهمني والله العظيم,عندما اتحدث عن موضوع ما مع شخص اخر، ولاحظة الشخص يفهم على حديثي ، في هذه الحظه اقول له (فاهمني والله العظيم),Western,"المهمة: اختر المعنى الصحيح لعبارة 'فاهمني والله العظيم'.
السؤال: ما المعنى المقصود من عبارة 'فاهمني والله العظيم'؟
الخيارات:
أ) الشخص الذي يفهم عن حديثي
ب) يتحدث عن موضوع سطحي
ج) يعبر عن عدم اهتمام
د) يعبر عن استياء من الحديث",أ
سيبك منو,سيبك : اتركه منو : هو,Western,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""سيبك منو""؟ 
الخيارات: 
A) ابق معه 
B) اتركه هو 
C) احضره إلي 
D) سأذهب معه",B
فعشني,"من ""الفعش"" وهو ""شد الشعر"" بعنف",Central,"المهمة: تحديد المعنى الصحيح لكلمة 'فعشني'.
السؤال: ما معنى كلمة 'فعشني' التي تنتمي للهجة السعودية؟
الخيارات:
أ) استرخِ
ب) شد الشعر بعنف
ج) اضحك
د) اركض",ب
فقع,هرب من شيء يتعبه,Western,"المهمة: حدد المعنى الصحيح لكلمة 'فقع'.
السؤال: ما هو المعنى الصحيح لكلمة 'فقع'؟
الخيارات:
أ) هرب من شيء يتعبه
ب) أكل شيء مالح
ج) نام في المساء
د) تجمع الأصدقاء",أ
اقظب الوطا,اقظب الارض,Northern,"المهمة: حدد المعنى الصحيح لعبارة (اقظب الوطا).
السؤال: ما المقصود من عبارة (اقظب الوطا)؟
الخيارات:
أ) اترك الأرض
ب) امسك الأرض بقوة
ج) اجلس على الأرض
د) ابتعد عن المكان",ب
دز امها,تأتي بمعنى اغرب عن وجهي < اهم شي,Western,"المهمة: اختر الإجابة الصحيحة فقط بدون ملاحظات إضافية. 
السؤال: ما معنى كلمة ""دز امها"" في اللهجة السعودية؟ 
الخيارات: 
A) اذهب بعيدًا 
B) تأتي إلي 
C) ارفض هذا 
D) تحدث معي",A
في الخيشة,هي عبارة تدل على أن الشخص لا يعلم ما يدور حوله من أحداث,Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني عبارة ""في الخيشة""؟ 
الخيارات: 
A) يعرف كل شيء 
B) لا يدري عما يحدث 
C) يتصرف بذكاء 
D) يعيش في عالمه الخاص",B
في خشمك عرام,اي في انفك تبن لكي تحكه,Central,"### نوع السؤال: معنى
Task: Choose only one answer without any additional notes. 
Question: ما معنى عبارة ""في خشمك عرام""؟ 
Options: 
A) في أنفك تبن لكي تحكه 
B) أنت جميل جدًا 
C) هل أنت هنا؟ 
D) كيف حالك؟ 
Correct Answer: A) في أنفك تبن لكي تحكه",
في ذاك,أي بمعنى هناك,Central,"المهمة: حدد المعنى الصحيح لعبارة 'في ذاك'.
السؤال: ما هو المعنى الذي تشير إليه عبارة 'في ذاك'؟
الخيارات:
أ) كمثال دقيق
ب) أي بمعنى هناك
ج) شيء غير موجود
د) تعبير عن الحزن",ب
يا مال العافية,دعاء بالصحة الجيدة.,General,"المهمة: حدد المعنى الصحيح لعبارة (يا مال العافية).
السؤال: ما المعنى الأقرب لعبارة (يا مال العافية)؟
الخيارات:
أ) الله يعطيك العافية
ب) أسرع في العمل
ج) انتهى الكلام
د) لا تهتم",أ
فين أصرفها ؟,"غالبا تستخدم بمعنى ""عذرك غير مقبول"" . وتستخدم أحيانا كتبيين للطرف الآخر في الحوار أنك لا تصدق كلامه .",Western,"المهمة: حدد المعنى الصحيح للتعبير 'فين أصرفها ؟'.
السؤال: ماذا يعني تعبير 'فين أصرفها ؟' في اللهجة السعودية؟
الخيارات:
أ) أين أضعها؟
ب) عذرك غير مقبول.
ج) كيف أتعامل معها؟
د) ماذا تريد مني؟",ب
قاعد يمشي,يظن البعض عند سماع هذه العبارة أن المتحدث يحاول إلقاء دعابة أو أنه في ليس في كامل قواه العقلية حيث أنه من المستحيل على قيام نشاطين مختلفين في الاتجاه في نفس الوقت. ولكن المعنى أنه يقوم بعملية المشي.,Western,"المهمة: حدد المعنى الحقيقي للعبارة.
السؤال: ما معنى العبارة 'قاعد يمشي'؟
الخيارات:
أ) يقوم بالركض
ب) يقوم بالمشي
ج) يجلس في مكانه
د) يعتقد أنه يمشي",ب
قافلة معي,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: حدد المعنى الصحيح لعبارة 'قافلة معي'.
السؤال: ماذا تعني عبارة 'قافلة معي' في اللهجة الحجازية؟
الخيارات:
أ) تعني المزاج غير رايق أو غضبان أو زعلان
ب) تعني مجموعة من الناس
ج) تعني الرحلة الطويلة
د) تعني مكان للاختباء",أ
إنتخشوا عينك,دعاء على الشخص بأن يقتلع الجن عينه أعاذنا الله وإياكم يستخدم هذا المصطلح غالبا في المنطقة الجنوبية من السعودية,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'إنتخشوا عينك'.
السؤال: ما هو معنى عبارة 'إنتخشوا عينك'؟
الخيارات:
أ) دعاء بالخير
ب) دعاء على الشخص بأن يقتلع الجن عينه
ج) تعبير عن الإعجاب
د) قول يحمل معنى التنبيه",ب
قصعة تشيلك,فصعة تشيلك : تمني الحظ السيء أن يصيبك أو ان ينتهي ماتتمناه بالفشل. وتقال رداً على الرفض وعند القهر.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'قصعة تشيلك'.
السؤال: ما هو المعنى المناسب لعبارة 'قصعة تشيلك'?
الخيارات:
أ) تمني الحظ السعيد
ب) تمني الحظ السيء
ج) تعبير عن الفرح
د) تعبير عن القلق",ب
قطعي شطاياه بالمطرق,تعني ايتها الأم اضربي ابنك بالعصا على مؤخرته (اردافه) بالعصا (الخيزران) كعقاب له لتأديبه و هي نصيحة متداولة بين الامهات التحديات في السعودية,Central,"المهمة: حدد المعنى الصحيح للعبارة 'قطعي شطاياه بالمطرق'.
السؤال: ما معنى العبارة 'قطعي شطاياه بالمطرق'؟
الخيارات:
أ) اضربي ابنك بالعصا كمكافأة له
ب) اضربي ابنك بالعصا كعقاب له
ج) قولي لابنك أن يتوقف عن اللعب
د) انصح ابنك بحل واجباته",ب
قعيطي,الشخص البخيل,Central,"المهمة: اختيار المعنى الصحيح لكلمة 'قعيطي'.
السؤال: ما هو معنى كلمة 'قعيطي'؟
الخيارات:
أ) الشخص الكريم
ب) الشخص البخيل
ج) الشخص الذكي
د) الشخص العفوي",ب
قل تم,وافق على ماطلبت! ويرد الموافق على الطلب بتم اي تم مطلبك ووصلت لغايتك,General,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى العبارة ""قل تم"" في اللهجة السعودية؟ 
الخيارات: 
أ) عدم الموافقة 
ب) إتمام الطلب 
ج) الإهتمام بالطلب 
د) تجاهل الطلب",ب
قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!,تصريفة لتصريف الشخص منك وتقال عندما تكون في جو مباراة كرة القدم ويحاول احدهم ان يأخذ محلك!,Western,"المهمة: حدد المعنى الصحيح للتعبير 'قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!'
السؤال: ما هو المعنى المقصود من التعبير المذكور؟
الخيارات:
أ) طلب الدعم أثناء المباراة
ب) تصريفة للتخلص من شخص
ج) إبداء القلق تجاه شخص
د) تحذير من المخاطر",ب
قلعة وادرين,أي قي مكان بعيد جدا,Northern,"المهمة: حدد المعنى الصحيح لعبارة 'قلعة وادرين'.
السؤال: ما هو المعنى الصحيح لعبارة 'قلعة وادرين'؟
الخيارات:
أ) مكان قريب جدا
ب) مكان بعيدا جدا
ج) مكان في المدينة
د) مكان مضحك",ب
قليل الخاتمة,صفة يتصف بها الوقح الحقير.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'قليل الخاتمة'.
السؤال: ما هو معنى 'قليل الخاتمة'؟
الخيارات:
أ) شخص شجاع
ب) صفة يتصف بها الوقح الحقير
ج) شخص كريم
د) شخص متذمر",ب
يبرز به,يقوله له كلام خاص او سر,Southern,"المهمة: حدد المعنى الصحيح لعبارة (يبرز به).
السؤال: ما المقصود من عبارة (يبرز به)؟
الخيارات:
أ) يوبخه أمام الناس
ب) يقوله كلامًا خاصًا أو سرًا
ج) يطلب منه أمرًا علنيًا
د) يتجاهله",ب
كاسر اللمبة,هي صفة تطلق على الشخص الضايع الذي لا يهتم للعواقب.,General,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""كاسر اللمبة""؟ 
الخيارات: 
A) شخص غير مهتم بعواقب أفعاله 
B) شخص حذر في تصرفاته 
C) شخص دائم الاهتمام بالمال 
D) شخص ذكي في اتخاذ القرارات",A
كان بمسمع منك,هذا التعبير يستخدم اذا كان الرجل قريبا ويسع له السماعة بالسهولة,Western,"المهمة: توضيح معنى التعبير المستخدم.
السؤال: ما هو معنى التعبير 'كان بمسمع منك'؟
الخيارات:
أ) الشخص بعيد عن المتحدث
ب) الشخص قريب ويسمع المتحدث بوضوح
ج) الحديث يتم في مكان مزدحم
د) الحديث سري ولا يجوز سماعه",ب
كاي,تعني شيئ مضحك، و قد تستخدم كصفة أيضا.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'كاي'.
السؤال: ما هو المعنى الذي تشير إليه كلمة 'كاي'؟
الخيارات:
أ) شيء مضحك
ب) شيء حزين
ج) شيء جميل
د) شيء عادي",أ
كبر البعير,بمعنى كبير الحجم,Central,"المهمة: حدد المعنى الصحيح للعبارة 'كبر البعير'.
السؤال: ما هو المعنى الصحيح للعبارة 'كبر البعير'؟
الخيارات:
أ) يعني صغير الحجم
ب) يعني كبير الحجم
ج) يعني متوسط الحجم
د) يعني سريع الحركة",ب
كبر المخدة,اي انه يجهز في النوم و فإنة يغط في سبات عمييق,Western,"المهمة: حدد المعنى الصحيح لعبارة 'كبر المخدة'.
السؤال: ماذا تعني عبارة 'كبر المخدة'؟
الخيارات:
أ) عندما ينام الشخص بشكل خفيف
ب) عندما يغط الشخص في سبات عميق
ج) عندما يستيقظ الشخص مبكراً
د) عندما يشعر الشخص بالتعب",ب
كبس,بمعني راح تاكل تراب,Western,"المهمة: حدد المعنى الصحيح لكلمة 'كبس'.
السؤال: ما هو المعنى الصحيح لكلمة 'كبس' في اللهجة الحجازية؟
الخيارات:
أ) أكل تراب
ب) لعب
ج) ركض
د) غطس",أ
كبيت العشا,عندما تتحدث بأمر من المفترض أن لا تتحدث عنه . أي أنك أفشيت سراً من غير قصد فكبيت العشا.,General,"المهمة: حدد المعنى الصحيح لعبارة 'كبيت العشا'.
السؤال: ما معنى 'كبيت العشا'?
الخيارات:
أ) تكلمت عن شيء خاص
ب) أكلت العشاء بسرعة
ج) أسأل عن سعر العشاء
د) شعرت بالسعادة بعد العشاء",أ
في قلب العدو,تقال عند ذكر أمر سيء,Western,"المهمة: حدد المعنى الصحيح لعبارة (في قلب العدو).
السؤال: ما المقصود بعبارة (في قلب العدو)؟
الخيارات:
أ) تمني الخير
ب) صرف الشر عن النفس وتوجيهه للعدو
ج) الدعوة للاجتماع
د) الاستغراب",ب
كريم عين,وصف مؤدب للشخص الأعور (الذي فقد إحدى عينيه),Central,"المهمة: حدد المعنى الصحيح لعبارة 'كريم عين'.
السؤال: ماذا تعني عبارة 'كريم عين'؟
الخيارات:
أ) الشخص الذي يمتلك عين واحدة
ب) الشخص الكريم واللطيف
ج) وصف مؤدب للشخص الأعور
د) وصف لجمال العين",ج
كسر عين,كسر عين: عبارة مهينة تستخدم للحط من قدر شخصاً ما. ,Central,"المهمة: اختر الإجابة الصحيحة حول معنى العبارة.
السؤال: ما معنى عبارة ""كسر عين"" في اللهجة السعودية؟
الخيارات:
A) إهانة لشخص آخر 
B) تعبير عن الحب 
C) تحية بين الأصدقاء 
D) وصف لجمال المنظر",A
كفو/ قدر,كفو/ قدر= تعني حجم الشخص ومقداره الأجتماعي، وتشبيه بالأشياء. وبالمثال يتضح المقال، طالع الأمثلة.,Central,"المهمة: حدد المعنى الصحيح لعبارة 'كفو/ قدر'.
السؤال: ماذا تعني 'كفو/ قدر'؟
الخيارات:
أ) يشير إلى قدرة الشخص أمام التحديات
ب) يدل على حجم الشخص ومقداره الاجتماعي
ج) يعني القوة البدنية
د) يشير إلى الأخبار الجيدة",ب
كل تبن,تعني أسكت ولا تتكلم . والتبن هو الشسمه,General,"المهمة: حدد المعنى الصحيح لعبارة 'كل تبن'.
السؤال: ماذا تعني عبارة 'كل تبن'؟
الخيارات:
أ) اذهب بعيدًا
ب) أسكت ولا تتكلم
ج) تعال هنا
د) ابدأ الحديث",ب
كل واحد يصلح سيارته,كل شخص يتنازل عن حقه ( سواء مشكلة أو خلاف ),General,"### نوع السؤال: معنى 
Task: اختر الجواب الصحيح دون أية ملاحظات إضافية. 
السؤال: ما هو المعنى المقصود من عبارة ""كل واحد يصلح سيارته""؟ 
الخيارات: 
A) كل شخص يبني سيارة جديدة 
B) كل شخص يتنازل عن حقه (سواء مشكلة أو خلاف) 
C) كل شخص يمشي بسيارته 
D) كل شخص يسوق سيارته بسرعة)",B
أوَّل أمس,كلمة قطيفية، وتعني اليوم الذي يسبِقُ الأمسَ,General,"المهمة: اختر المعنى الصحيح لكلمة 'أوَّل أمس'.
السؤال: ما هو المعنى الصحيح لكلمة 'أوَّل أمس'؟
الخيارات:
أ) اليوم الذي يلي الغد
ب) اليوم الذي يلي الأمس
ج) اليوم الذي يسبق الأمس
د) اليوم الذي يسبق الغد",ج
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'كلجة'.
السؤال: ما معنى كلمة 'كلجة' في اللهجة الحجازية؟
الخيارات:
أ) كلام غير صحيح
ب) محاولة للتواصل
ج) لغة رسمية
د) مصطلح شعري",أ
كلما طقيتها صارت عوجاء,تعني أن المشكلات تواجه كلما حاول التقدم أوإصابة الهدف فيتراجع إلى الوراء رغم المحاولة في التقدم أو أصابة الهدف فلابد من الميل عنه,Central,"المهمة: اختر المعنى الصحيح للعبارة 'كلما طقيتها صارت عوجاء'.
السؤال: ما معنى العبارة 'كلما طقيتها صارت عوجاء'?
الخيارات:
أ) المشاكل تتزايد مع محاولة التقدم
ب) النجاح مؤكد دائماً
ج) الأمور تتحسن دائماً
د) لا يوجد أي مشكلات في الحياة",أ
كن أبوك,تهديد بأن لا يفعل أمر ما ( بمعنى يا ويلك ),Central,"المهمة: حدد المعنى الصحيح لعبارة 'كن أبوك'.
السؤال: ما هو معنى عبارة 'كن أبوك' في اللهجة السعودية؟
الخيارات:
أ) طلب بالأدب
ب) تهديد بعدم الفعل
ج) تحذير لطيف
د) اعتذار عن فعل",ب
وش حيثوه,للهجة أهل القصيم تعني  لماذا هو فقط,Central,"المهمة: حدد المعنى الصحيح لعبارة (وش حيثوه).
السؤال: ما المعنى الأقرب لعبارة (وش حيثوه)؟
الخيارات:
أ) لماذا هو فقط
ب) أين ذهب
ج) متى حصل
د) كيف حدث",أ
كيف اقول بي,ماذا اصنع بعمري,General,"المهمة: حدد المعنى الصحيح للتعبير 'كيف اقول بي'.
السؤال: ماذا يعني التعبير 'كيف اقول بي'؟
الخيارات:
أ) ماذا أصنع بعمري
ب) كيف أتحدث مع الناس
ج) أين أذهب الآن
د) ماذا أفعل في حياتي",أ
لا تحرق رُزك,وتعني اي لا تغضب عند انتظار الشيء,General,"المهمة: حدد المعنى الصحيح لعبارة 'لا تحرق رُزك'.
السؤال: ماذا تعني عبارة 'لا تحرق رُزك'؟
الخيارات:
أ) لا تصرخ عند الغضب
ب) لا تغضب عند انتظار الشيء
ج) لا تأكل بسرعة
د) لا تشتكي من الانتظار",ب
لا تخليني كذا لا اني مقيد ولا اني مفكوك,لا تدعني بين نعم و لا لست بمقيد او حر,Central,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أية ملاحظات. 
السؤال: ما معنى العبارة ""لا تخليني كذا لا اني مقيد ولا اني مفكوك""؟ 
الخيارات: 
A) لا تدعني عالقًا بين خيارين 
B) لا تدعني أختار بين الحرية والقيود 
C) لا تجعلني أشعر بالراحة 
D) لا تتركني وحيدًا",A
لا تستسيد,معنها لا تكذب باللهجة القطيفية,Eastern,"المهمة: حدد المعنى الصحيح لعبارة 'لا تستسيد'.
السؤال: ماذا تعني عبارة 'لا تستسيد' باللهجة السعودية؟
الخيارات:
أ) لا تكذب
ب) لا تحزن
ج) لا تغضب
د) لا تفرح",أ
