Term,Meaning_of_term,Dialect type,Location_Recognition_question,correct_answer
صجه ولجه,الإزعاج الشديد الناشيء من الأصوات والحركة الكثيرة,General,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'صجه ولجه' بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'صجه ولجه' بشكل شائع؟
الخيارات:
أ)  الإمارات 
ب) الكويت
ج) البحرين
د) المملكة العربية السعودية",د
صخم الله رقاعك,جملة تقال للي ما عنده سالفه و معناها : سود الله وجهك,Central,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: أين تُستخدم عبارة ""صخم الله رقاعك"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) دبي 
C) البحرين 
D) الكويت",A
صديق,هي عبارة نداء للعمال والموظفين القادمين من دول آسيوية غير عربية,General,"المهمة: حدد المكان الذي يُستخدم فيه هذا المصطلح بشكل رئيسي.
السؤال: في أي دولة يُستخدم مصطلح 'صديق' بشكل أساسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
صياحك طرب,عندما تريد إظهار اللامبالاة بالإساءة الموجه لك,Central,"المهمة: حدد المكان الذي تُستخدم فيه العبارة 'صياحك طرب' بشكل شائع.
السؤال: في أي منطقة تُستخدم عبارة 'صياحك طرب' أكثر في المملكة العربية السعودية؟
الخيارات:
أ) المدينة المنورة
ب) الرياض
ج) جدة
د) الدمام",ب
ضاق الصدر,حزن,General,"- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية.
- السؤال: في أي دولة تُستخدم عبارة ""ضاق الصدر"" بشكل شائع؟
- الخيارات:
 A) السعودية 
 B) الكويت 
 C) الإمارات 
 D) البحرين 
-",A
ضريب إرتتس,ضريب = أسم شخص شعبي . ولا أظن أنه هناك احدن أسمهو ضريب إرتتس = بمعنى إرتك أو جب مركا وارتك ومعناها أستريح بس .,Central,"المهمة: حدد المنطقة التي ترتبط فيها عبارة 'ضريب إرتتس'.
السؤال: في أي منطقة من المملكة يُستخدم المصطلح 'ضريب إرتتس' بشكل شائع؟
الخيارات:
أ) الرياض
ب) مكة
ج) الطائف
د) الدمام",أ
ضعوي,تعني الخرطي وهو انه كذاب نصاب,General,"المهمة: حدد الدولة التي تستخدم المصطلح 'ضعوي' بشكل رئيسي.
السؤال: أي دولة تستخدم المصطلح 'ضعوي' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
طار بالعجة,عندما يندفع شخص لفعل شيء متأثرا من شيء سواء كان كلاما أو فعلا من شخص آخر,General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'طار بالعجة' بشكل رئيسي.
السؤال: في أي منطقة تُستخدم العبارة 'طار بالعجة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
اتوطى في بطنك,اتوطى في بطنك: معناها انن سوف يضربه بقوة,Central,"المهمة: حدد أي منطقة سعودية تُستخدم فيها جملة 'اتوطى في بطنك' بشكل رئيسي.
السؤال: في أي مدينة سعودية يُستخدم تعبير 'اتوطى في بطنك' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
يباري الساس,يمشي بمحاذاة الجدار - يدور الظلال أو يتغبى عن أحد.,Central,"المهمة: حدد المكان الذي يُستخدم فيه مصطلح 'يباري الساس' بشكل أكثر شيوعاً.
السؤال: في أي مدينة سعودية يُستخدم مصطلح 'يباري الساس' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",ج
طراش,القي,General,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح 'طراش' بشكل شائع.
السؤال: أين يُستخدم المصطلح 'طراش' بشكل أكثر شيوعاً؟
الخيارات:
أ)  البحرين 
ب) الكويت
ج) الإمارات
د) المملكة العربية السعودية",د
اترك الهِياط,تُقال لمن يبالغ في ادعاءاته أو يتصنع القوة.,Central,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'اترك الهِياط' بشكل رئيسي.
السؤال: أين يستخدم المصطلح 'اترك الهِياط' بشكل أكثر شيوعًا؟
الخيارات:
أ) الرياض
ب) دبي
ج) الكويت
د) المنامة",أ
عافية ربي,هي عبارة دعوة بالعافية من رب العالمين في الحجاز تقال هذه العبارة للاطفال عند النوم ولكن بطريقة مخيفة قليلا وكانها دعوة لشبح مافيخاف الاطفال وينامون بسرعة ولكن عندما يكبر الطفل يعرف معنى هذه العبارة ويبدأ بلوم امه والضحك على هذه العبارة,Western,"- المهمة: اختر المدينة أو المنطقة السعودية التي تُستخدم فيها العبارة بشكل شائع.
- السؤال: في أي منطقة سعودية تُستخدم عبارة ""عافية ربي"" بشكل أساسي؟
- الخيارات:
 A) مكة 
 B) المدينة المنورة 
 C) الرياض 
 D) جدة 
-",D
عاقد النونه,عاقد النونه : الشخص الذي يقرب حاجبيه الى بعض تعبيراً عن الزعل,Central,"المهمة: حدد الموقع الجغرافي الذي تُستخدم فيه عبارة 'عاقد النونه' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'عاقد النونه' بشكل أكبر؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",أ
هب لي,اعطني,Southern,"المهمة: اختر المنطقة التي تستخدم فيها عبارة 'هب لي' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'هب لي' بشكل رئيسي؟
الخيارات:
أ) الجنوب
ب) الحجاز
ج) نجد
د) الدمام",أ
عداك العيب,في حالتك إعجابك بفعل أو كلام شخصاُ ما,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'عداك العيب' بشكل شائع.
السؤال: في أي منطقة سعودية يُعتبر المصطلح 'عداك العيب' شائع الاستخدام؟
الخيارات:
أ) مكة
ب) الرياض
ج) حائل
د) المدينة المنورة",ب
عدك عليه,اذا كنت معصب على مديرك وتبى تفش غلك وبدون مايعرف وش معناه قله عدك عليه طال عمرك,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'عدك عليه' بشكل أكثر شيوعًا.
السؤال: في أي منطقة من المملكة العربية السعودية تُستخدم عبارة 'عدك عليه' بشكل أكثر؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",ج
أبو خمسة,يستخدم للشخص الشره اللذي يأكل بيده.,General,"المهمة: حدد الدولة التي يستخدم فيها المصطلح 'أبو خمسة' بشكل أساسي.
السؤال: في أي دولة يُستخدم المصطلح 'أبو خمسة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
عساك سالم,"تأتي بشكل عامي بمعنى ""استريح""",General,"المهمة: حدد الدولة التي يُستخدم فيها المصطلح بشكل رئيسي.
السؤال: في أي دولة تعتبر عبارة ""عساك سالم"" مستخدمة بشكل رئيسي؟ 
الخيارات: 
A) السعودية 
B) الكويت 
C) الإمارات العربية المتحدة 
D) البحرين",A
عساك طيب,عندما تسأل شخص : كيف حالك؟ في السعودية يستبدلوها في الغالب بلهجة السؤال: عساك طيب؟,General,"المهمة: حدد الدولة التي يُستخدم فيها المصطلح بشكل رئيسي.
السؤال: أي دولة تستخدم عبارة 'عساك طيب' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
عسى مالك,ماذا طرأ لك أيضا مالك يا أخي,Western,"المهمة: حدد المنطقة التي تستخدم فيها العبارة 'عسى مالك' بشكل شائع.
السؤال: أين تُستخدم عبارة 'عسى مالك' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الدمام
ج) أبها
د) الرياض",أ
عضّ الأرض,عباره مسكته أو رادعه لشخص أحلامه كبيره ومستحيله,Central,"المهمة: اختر المكان الذي يُستخدم فيه التعبير 'عضّ الأرض' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم تعبير 'عضّ الأرض' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) مكة المكرمة
ج) حائل
د) المدينة المنورة",أ
عض على شحمه,تقال عندما يقوم الشخص بالتحدث عن موضوع لا يفقه فيه شيء أو عندما يتحدث في وقت غير مناسب وكذلك عندما يتخاصم شخصان فيقول أحدهما ( ورى ماتعض على شحمه ؟ ),Central,"المهمة: اختر المدينة أو المنطقة التي تُستخدم فيها عبارة 'عض على شحمه' بشكل رئيسي.
السؤال: أين يُستخدم المصطلح 'عض على شحمه' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الدمام
ج) الرياض
د) حائل",ج
أدّيلو علقة, يعني أضربو اوعاقبه,Western,"المهمة: حدد المنطقة الأكثر استخداماً لعبارة 'أدّيلو علقة'.
السؤال: في أي مدينة سعودية تُستخدم عبارة 'أدّيلو علقة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) الخبر",ب
بس داويه,بس بلا ازعاج,Southern,"المهمة: تحديد المكان الأكثر شيوعًا لاستخدام عبارة 'بس داويه'.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'بس داويه' بشكل شائع؟
الخيارات:
أ) نجران
ب) الدمام
ج) أبها
د) الرياض",أ
علة باطنية,تنطق عادة بالتنوين (علتن باطنية) تقال للشخص الثقيل جدا والمزعج. صعب المراس الذي دائما يعترض ولا يتقبل أي شيء.,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح بشكل رئيسي.
السؤال: أين يُستخدم المصطلح 'علة باطنية' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) مكة
ج) الدمام
د) جدة",أ
على اسرك,(عند أهل السراة): على اسرك: تنطق عَلَسْرِِكْ: تخفيف من اللغة الفصيحة على رِسْلِكْ، وهي بمعنى على مهلك، لا تتعجل. مرادفات: على هونك.,Southern,"المهمة: حدد المنطقة الأكثر شيوعًا لاستخدام عبارة 'على اسرك'.
السؤال: في أي منطقة من السعودية تستخدم عبارة 'على اسرك' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) مكة
ج) أهل السراة
د) أبها",ج
على راسك ريش,يقال بدلا من (لا، لا يمكنك فعل ذلك) و هو من الإستنكار و أحيانا السخرية و هو دائما استفهام.,Central,"المهمة: حدد الموقع الذي يُستخدم فيه المصطلح أكثر.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'على راسك ريش' بشكل أكثر شيوعاً؟
الخيارات:
أ) مكة المكرمة
ب) الرياض
ج) جدة
د) الدمام",ب
على شحم,بمعنى اسكت او نقطنا بسكاتك,Central,"المهمة: حدد المنطقة التي يُستخدم فيها مصطلح 'على شحم' على نطاق واسع.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'على شحم' بشكل شائع؟
الخيارات:
أ) نجد
ب) جدة
ج) الدمام
د) أبها",أ
تراني طفران,بمعنى انا مفلس ماعندي فلوس ,General,"المهمة: حدد الموقع الأكثر شيوعاً الذي يتواجد فيه استخدام 'تراني طفران'.
السؤال: أين يُستخدم المصطلح 'تراني طفران' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
على لبن ملموذه,تستخدم عندما نريد أن نقول أن شخصين على خلاف مع بعضهما البعض، وأن العلاقة بينهما ليس جيده أبداً.,General,"المهمة: حدد الدولة أو المنطقة التي تُستخدم فيها العبارة بشكل شائع.
السؤال: في أي دولة تعتبر عبارة 'على لبن ملموذه' معروفة؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) البحرين
د) الإمارات",أ
على مثل راس القوطي,تقال عند سب وشتم رجل قدره لا يصل ان يقدم له قطعه كبيره  بل قطعه صغيره بحجم غطاء قارورة الماء,General,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح.
السؤال: في أي دولة يُستخدم المصطلح 'على مثل راس القوطي' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
اشرب بشويش,معناها اشرب ببطئ,Southern,"المهمة: حدد المنطقة التي تستخدم فيها هذه العبارة بشكل شائع.
السؤال: أين يُستخدم المصطلح 'اشرب بشويش' بشكل أكثر شيوعاً؟
الخيارات:
أ) الجنوب
ب) جدة
ج) الشرق 
د) الغرب",أ
علي بالملازيم!,أسلوب نذر. وتعني أنني سأقوم بالواجب وحق الضيافة، ولن يذهب الضيف الا وهو مكرم.,General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح 'علي بالملازيم!' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'علي بالملازيم!' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
علي ما علي,علي ما علي بلهجة أهل تبوك، تظهر عندما يغضب الشخص ويستنكر أمراً ما ومن ثم يبدأ يتوعد وينذر أنه لو حدث شيء كهذا تالله لن تمر بسلام!,Northern,"المهمة: حدِّد أين يُستخدم التعبير 'علي ما علي' بشكل أكبر.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'علي ما علي' بشكل شائع؟
الخيارات:
أ) تبوك
ب) الرياض
ج) جدة
د) مكة",أ
عمر عامر مات ي بطل,وتنقال للي يسوي قوي المقصود فيها عمر عامر القرشي رحمه الله راقص المزمار المشهور,Central,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام العبارة.
السؤال: أين يُستخدم المصطلح 'عمر عامر مات ي بطل' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) المدينة المنورة",ب
عنز ولو طارت,إذا أصر أحدهم وتمسك برأيه حتى ولو كان أمراً مستحيلاً لايمكن وقوعه,Central,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح 'عنز ولو طارت' بشكل شائع.
السؤال: في أي منطقة سعودية يكثر استخدام عبارة 'عنز ولو طارت'؟
الخيارات:
أ) الرياض
ب) الدمام
ج) مكة
د) نجد",د
عنك او عن رجآل.؟,عبارة بدوية قديمة، تعني، هل أنت كفؤ لهذه المهمة، أما هنالك من أكفأ منك؟ ويكون الرد بهذه الطريقة (عني وانا رجآل) وتعني أنا لها وأنا رجل.,Central,"المهمة: حدد الموقع الجغرافي الذي يرتبط بالعبارة.
السؤال: في أي منطقة نجد عبارة 'عنك او عن رجآل.؟' تُستخدم بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
عود جاي,هي كلمة عربية في معناها فكلمة عود موجودة في لسان الصحاح بعاد إِليه يَعُودُ عَوْدَةً وعَوْداً: رجع اي بمعنى رجع إليه ومعنى جاي مأخوذة من مجيئ اي جاء إلي ومعنى عود جاي : اي ارجع إلي هذه الكلمة موجودة عند عوام القبائل السعودية وخاصة النجدية وهي كلمة قد اندثرت في وقتنا الحاضر,Central,"- المهمة: اختر الإجابة الصحيحة فقط.
- السؤال: في أي منطقة في السعودية تُستخدم عبارة ""عود جاي"" بشكل شائع؟
- الخيارات:
 A) المدينة المنورة 
 B) المنطقة الشرقية 
 C) منطقة نجد 
 D) منطقة جازان 
-",C
حست مريري,حست تسبدي: أي عكرت مزاجي .,Central,"المهمة: حدد المنطقة الرئيسية المستخدمة لعبارة 'حست مريري'.
السؤال: أين يُستخدم المصطلح 'حست مريري' بشكل أكثر شيوعاً؟
الخيارات:
أ) أبها
ب) جدة
ج) الدمام
د) القصيم",د
إيش فيك مِتْنَح؟,تُقال للشخص الذي لا يستوعب الكلام أو يتظاهر بعدم الفهم.,Western,"المهمة: حدد المكان الأكثر شيوعاً لاستخدام عبارة 'إيش فيك مِتْنَح؟'.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'عإيش فيك مِتْنَح؟' بشكل أكثر شيوعاً؟
الخيارات:
أ) الحجاز
ب) أبها
ج) الدمام
د) نجد",أ
عيشة ولد,تطلق تلعب الفتاة التي تلعب مع الصبيان,Western,"المهمة: حدد أين تُستخدم عبارة 'عيشة ولد' بشكل رئيسي.
السؤال: في أي مدينة سعودية يُستخدم المصطلح 'عيشة ولد' بشكل أكثر شيوعاً؟
الخيارات:
أ) مكة
ب) جدة
ج) الرياض
د) القصيم",ب
غاسل يدي منو,تستخدم هذي العبارة لي تعبر عن شخص أو فعل عمله شخص قد خيب أملك,Western,"المهمة: حدد المنطقة التي تُستخدم فيها العبارة بشكل شائع.
السؤال: في أي دولة تُستخدم عبارة 'غاسل يدي منو' بشكل رئيسي؟
الخيارات:
أ) أبها
ب) جازان
ج) جدة
د) حائل",ج
لا تِسوي فيها,"عبارة شهيرة بمعنى ""لا تتصنع"" أو لا تدعي صفة ليست فيك (هياط حجازي).",Western,"المهمة: حدد المنطقة التي تُستخدم فيها عبارة 'لا تِسوي فيها' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'غلا تِسوي فيها' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الدمام
ج) أبها
د) حائل",أ
غسل شراع,غسل شراع: تعني أن شخصاً لقن الآخر درساً قاسياً بطريقة تعنفية أو بالضرب أو بالكلام. طالع نسف جبهه,General,"المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: في أي دولة يُستخدم مصطلح ""غسل شراع"" بشكل شائع؟ 
الخيارات: 
A) السعودية 
B) الكويت 
C) الإمارات 
D) البحرين",A
فاصخ عقله,تقال للانسان الذي يفعل الاشياء بدون استخدام عقله و تكون تصرفاته اقرب للمجنون منه للعاقل.,General,"المهمة: أين يُستخدم المصطلح 'فاصخ عقله' بشكل رئيسي؟
السؤال: في أي دولة يُعتبر هذا التعبير شائعاً؟
الخيارات:
أ) المملكة العربية السعودية
ب) البحرين
ج) الكويت
د) قطر",أ
فاهمني والله العظيم,عندما اتحدث عن موضوع ما مع شخص اخر، ولاحظة الشخص يفهم على حديثي ، في هذه الحظه اقول له (فاهمني والله العظيم),Western,"المهمة: حدد المكان الذي يُستخدم فيه التعبير 'فاهمني والله العظيم' بشكل شائع.
السؤال: في أي منطقة من المملكة العربية السعودية تُستخدم عبارة 'فاهمني والله العظيم' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
سيبك منو,سيبك : اتركه منو : هو,Western,"### نوع السؤال: التعرف على الموقع
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: أين تستخدم عبارة ""سيبك منو"" بشكل أكثر شيوعاً؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الدمام 
D) المدينة المنورة",B
فعشني,"من ""الفعش"" وهو ""شد الشعر"" بعنف",Central,"المهمة: تحديد المكان الذي يُستخدم فيه المصطلح.
السؤال: أين يُستخدم المصطلح 'فعشني' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) الدوحة
ج) الكويت
د) أبوظبي",أ
فقع,هرب من شيء يتعبه,Western,"المهمة: حدد منطقة انتشار كلمة 'فقع'.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'فقع' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة
د) الطائف",ب
اقظب الوطا,اقظب الارض,Northern,"المهمة: حدد المدينة أو المنطقة التي تستخدم فيها عبارة 'اقظب الوطا' بشكل شائع.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'اقظب الوطا' أكثر؟
الخيارات:
أ) الشمال
ب) الجنوب
ج) جدة
د) الشرقية",أ
دز امها,تأتي بمعنى اغرب عن وجهي < اهم شي,Western,"المهمة: اختر الإجابة الصحيحة فقط بدون ملاحظات إضافية. 
السؤال: في أي منطقة من السعودية تُستخدم كلمة ""دز امها"" بشكل شائع؟ 
الخيارات: 
A) الرياض 
B) جدة 
C) الدمام 
D) أبها",B
في الخيشة,هي عبارة تدل على أن الشخص لا يعلم ما يدور حوله من أحداث,Central,"المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: في أي منطقة تُستخدم عبارة ""في الخيشة"" بشكل أكثر شيوعًا؟ 
الخيارات: 
A) الرياض 
B) دبي 
C) المنامة 
D) أبوظبي",A
في خشمك عرام,اي في انفك تبن لكي تحكه,Central,"المهمة: حدد المنطقة التي يُستخدم فيها هذا التعبير بشكل شائع.
السؤال: أين يُستخدم المصطلح 'في خشمك عرام' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) الدمام",أ
في ذاك,أي بمعنى هناك,Central,"المهمة: حدد المنطقة التي تُستخدم فيها عبارة 'في ذاك' بشكل رئيسي.
السؤال: في أي منطقة سعودية تُستخدم عبارة 'في ذاك' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) المدينة المنورة",أ
يا مال العافية,دعاء بالصحة الجيدة.,General,"المهمة: حدد الدولة التي تستخدم عبارة 'يا مال العافية' بشكل رئيسي.
السؤال: أي دولة تستخدم المصطلح 'يا مال العافية' بشكل شائع؟
الخيارات:
أ) المملكة العربية السعودية
ب) الكويت
ج) الإمارات
د) البحرين",أ
فين أصرفها ؟,"غالبا تستخدم بمعنى ""عذرك غير مقبول"" . وتستخدم أحيانا كتبيين للطرف الآخر في الحوار أنك لا تصدق كلامه .",Western,"المهمة: حدد المنطقة التي يُستخدم فيها التعبير 'فين أصرفها ؟'.
السؤال: أين يُستخدم المصطلح 'فين أصرفها ؟' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
قاعد يمشي,يظن البعض عند سماع هذه العبارة أن المتحدث يحاول إلقاء دعابة أو أنه في ليس في كامل قواه العقلية حيث أنه من المستحيل على قيام نشاطين مختلفين في الاتجاه في نفس الوقت. ولكن المعنى أنه يقوم بعملية المشي.,Western,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح أكثر.
السؤال: أين يُستخدم المصطلح 'قاعد يمشي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) أبها",ب
قافلة معي,يعني المزاج غير رايق أو غضبان أو زعلان,Western,"المهمة: حدد الموقع الجغرافي للعبارة.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'قافلة معي' بشكل رئيسي؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) تبوك",أ
إنتخشوا عينك,دعاء على الشخص بأن يقتلع الجن عينه أعاذنا الله وإياكم يستخدم هذا المصطلح غالبا في المنطقة الجنوبية من السعودية,Southern,"المهمة: حدد المنطقة التي يُستخدم فيها هذا المصطلح.
السؤال: في أي منطقة من المناطق السعودية يُستخدم التعبير 'إنتخشوا عينك' بشكل شائع؟
الخيارات:
أ) الرياض
ب) حائل
ج) أبها
د) جدة",ج
قصعة تشيلك,فصعة تشيلك : تمني الحظ السيء أن يصيبك أو ان ينتهي ماتتمناه بالفشل. وتقال رداً على الرفض وعند القهر.,Central,"المهمة: حدد المكان الذي يستخدم فيه المصطلح بشكل رئيسي.
السؤال: أين يُستخدم المصطلح 'قصعة تشيلك' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
قطعي شطاياه بالمطرق,تعني ايتها الأم اضربي ابنك بالعصا على مؤخرته (اردافه) بالعصا (الخيزران) كعقاب له لتأديبه و هي نصيحة متداولة بين الامهات التحديات في السعودية,Central,"المهمة: حدد المنطقة الأكثر استخدامًا لعبارة 'قطعي شطاياه بالمطرق'.
السؤال: في أي منطقة من مناطق المملكة العربية السعودية تستخدم العبارة 'قطعي شطاياه بالمطرق' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) المدينة المنورة
د) أبها",ب
قعيطي,الشخص البخيل,Central,"المهمة: تحديد المنطقة التي يُستخدم فيها مصطلح 'قعيطي' بشكل شائع.
السؤال: أين يُستخدم المصطلح 'قعيطي' بشكل أكثر شيوعاً؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",أ
قل تم,وافق على ماطلبت! ويرد الموافق على الطلب بتم اي تم مطلبك ووصلت لغايتك,General,"المهمة: حدد المكان الذي يُستخدم فيه المصطلح بشكل شائع.
السؤال: أين تُستخدم العبارة 'قل تم' بشكل أكثر شيوعاً؟
الخيارات:
أ) قطر
ب) الإمارات
ج) السعودية
د) الكويت",ج
قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!,تصريفة لتصريف الشخص منك وتقال عندما تكون في جو مباراة كرة القدم ويحاول احدهم ان يأخذ محلك!,Western,"المهمة: حدد الموقع الجغرافي المستخدم في التعبير.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'قل قسم؟ اصفق لك يعني ولا ايش؟ اقول هاك هاك خمسة ريال وتوكل على الله!' بشكل شائع؟
الخيارات:
أ) نجد
ب) الحجاز
ج) الدمام
د) تبوك",ب
قلعة وادرين,أي قي مكان بعيد جدا,Northern,"المهمة: حدد أين يمكن استخدام المصطلح 'قلعة وادرين' بشكل شائع.
السؤال: في أي منطقة سعودية يمكن استخدام عبارة 'قلعة وادرين'؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) المدينة المنورة",ج
قليل الخاتمة,صفة يتصف بها الوقح الحقير.,Central,"المهمة: حدد الموقع الأنسب لاستخدام عبارة 'قليل الخاتمة'.
السؤال: في أي منطقة سعودية قد تتكرر عبارة 'قليل الخاتمة' بشكل شائع؟
الخيارات:
أ) الرياض
ب) جدة
ج) القصيم
د) حائل",أ
يبرز به,يقوله له كلام خاص او سر,Southern,"المهمة: حدد أين يُستخدم المصطلح 'يبرز به' بشكل أكثر شيوعاً.
السؤال: في أي منطقة سعودية يُستخدم مصطلح 'يبرز به' بشكل رئيسي؟
الخيارات:
أ) نجران
ب) القطيف
ج) الدمام
د) مكة",أ
كاسر اللمبة,هي صفة تطلق على الشخص الضايع الذي لا يهتم للعواقب.,General,"المهمة: حدد المنطقة التي يُستخدم فيها المصطلح.
السؤال: في أي دولة يستخدم المصطلح 'كاسر اللمبة' بشكل رئيسي؟
الخيارات:
أ) المملكة العربية السعودية
ب) الإمارات
ج) البحرين
د) الكويت",أ
كان بمسمع منك,هذا التعبير يستخدم اذا كان الرجل قريبا ويسع له السماعة بالسهولة,Western,"المهمة: تحديد المكان الذي يستخدم فيه التعبير بشكل رئيسي.
السؤال: في أي منطقة سعودية يُستخدم التعبير 'كان بمسمع منك' بشكل أكثر شيوعاً؟
الخيارات:
أ) جدة
ب) الرياض
ج) الدمام
د) أبها",أ
كاي,تعني شيئ مضحك، و قد تستخدم كصفة أيضا.,Western,"المهمة: حدد المنطقة التي تُستخدم فيها كلمة 'كاي' بشكل رئيسي.
السؤال: في أي منطقة سعودية تُستخدم كلمة 'كاي' بكثرة؟
الخيارات:
أ) الرياض
ب) جدة
ج) الدمام
د) حائل",ب
كبر البعير,بمعنى كبير الحجم,Central,"المهمة: حدد الموقع الأكثر شيوعًا لاستخدام هذا المصطلح.
السؤال: في أي منطقة سعودية يُستخدم المصطلح 'كبر البعير' بشكل رئيسي؟
الخيارات:
أ) الرياض
ب) جدة
ج) حائل
د) الدمام",أ
كبر المخدة,اي انه يجهز في النوم و فإنة يغط في سبات عمييق,Western,"المهمة: حدد المنطقة التي تُستخدم فيها عبارة 'كبر المخدة' بشكل أكثر شيوعاً.
السؤال: في أي منطقة من المملكة العربية السعودية تُستخدم عبارة 'كبر المخدة'؟
الخيارات:
أ) الرياض
ب) جدة
ج) الخبر
د) الدمام",ب
